Loyalty Number,umap_x,umap_y,archetype
327796,9.732197,1.3000777,Budget Explorers
947467,12.7205515,-0.41435203,Budget Explorers
743510,10.183124,1.0318385,Budget Explorers
580324,11.844024,1.6901872,Budget Explorers
101945,17.584332,2.4019084,Budget Explorers
713636,19.092415,2.4495916,Budget Explorers
302509,9.854032,1.2352412,Budget Explorers
789421,10.958497,0.47047555,Budget Explorers
404426,11.16292,1.648893,Budget Explorers
438023,10.786244,0.3821315,Budget Explorers
872932,14.704398,2.4752176,Budget Explorers
407945,19.224016,0.5017434,Budget Explorers
211714,19.000645,0.45659858,Budget Explorers
410982,19.461275,1.1329283,Budget Explorers
905213,12.1335745,1.7796967,Budget Explorers
147898,18.653795,2.1938758,Budget Explorers
610946,14.95043,2.7358046,Budget Explorers
383108,14.156416,1.4461111,Budget Explorers
836343,16.661137,3.6351519,Budget Explorers
585357,19.716583,1.1816771,Budget Explorers
784804,9.695661,1.3515953,Budget Explorers
719633,-3.1292155,13.238253,Drifting Stars
715764,12.004491,1.7398485,Budget Explorers
753473,19.207754,0.57269514,Budget Explorers
980856,20.058538,1.152181,Budget Explorers
271660,11.084008,0.4787364,Budget Explorers
264936,14.656913,2.9702508,Budget Explorers
976513,17.69721,2.9964628,Budget Explorers
828776,10.6358795,0.6780629,Budget Explorers
240362,10.80965,0.35612783,Budget Explorers
137845,19.247478,0.53346413,Budget Explorers
430569,18.808222,2.2053955,Budget Explorers
625870,14.86567,2.7486672,Budget Explorers
917630,11.828387,-0.01938366,Budget Explorers
717660,10.535932,0.90809846,Budget Explorers
450621,11.904975,1.6458786,Budget Explorers
939562,17.278963,-0.23525882,Budget Explorers
135250,15.330985,3.1712937,Budget Explorers
714555,17.59367,-0.1710659,Budget Explorers
947868,17.999022,-0.073102824,Budget Explorers
228580,12.717376,1.9401841,Budget Explorers
557500,14.678537,2.4997518,Budget Explorers
238233,11.897906,0.11241042,Budget Explorers
979309,17.750298,-0.07966743,Budget Explorers
717700,18.059225,-0.12840353,Budget Explorers
245465,19.333046,1.1924578,Budget Explorers
709920,18.885405,2.2710962,Budget Explorers
143784,17.4629,-0.35676736,Budget Explorers
602176,13.224067,2.2871253,Budget Explorers
870998,19.092585,2.4468675,Budget Explorers
958224,19.150085,0.50410455,Budget Explorers
837628,10.603467,0.66105884,Budget Explorers
395460,18.123528,-0.021270124,Budget Explorers
136547,11.874481,0.34540787,Budget Explorers
166712,16.377367,4.149542,Budget Explorers
217695,18.911444,2.3129103,Budget Explorers
263707,10.912682,2.0485814,Budget Explorers
638368,15.16405,3.7608738,Budget Explorers
695529,19.39811,1.1011157,Budget Explorers
915571,9.722643,1.4576482,Budget Explorers
642109,19.10242,0.5267625,Budget Explorers
833701,17.717766,-0.262948,Budget Explorers
275442,14.648841,3.0136702,Budget Explorers
374345,17.376654,6.8849053,Budget Explorers
384825,19.611725,1.208736,Budget Explorers
564650,19.063753,0.5257287,Budget Explorers
277649,17.366802,3.174131,Budget Explorers
732013,17.633179,-0.18715507,Budget Explorers
793318,17.155832,6.6851807,Budget Explorers
830024,11.82848,-0.04966546,Budget Explorers
966117,11.209256,1.6309216,Budget Explorers
265836,12.276483,1.9930751,Budget Explorers
474174,17.461866,-0.28172603,Budget Explorers
202299,14.615617,3.019648,Budget Explorers
497467,19.025536,2.37526,Budget Explorers
635225,17.56567,2.4029882,Budget Explorers
980198,12.432608,1.7289587,Budget Explorers
861924,19.144676,0.50526154,Budget Explorers
769731,12.760947,-0.4632977,Budget Explorers
639701,19.307709,1.1699047,Budget Explorers
998090,12.880397,2.1124284,Budget Explorers
283747,14.948067,2.4023356,Budget Explorers
816593,17.607101,3.0555022,Budget Explorers
440939,14.781569,2.7067003,Budget Explorers
531201,-3.1807044,13.285684,Drifting Stars
585629,17.603527,-0.14172804,Budget Explorers
347932,17.656897,-0.17220333,Budget Explorers
417886,18.700953,0.13478345,Budget Explorers
203550,13.265784,-0.06428119,Budget Explorers
181825,15.233905,3.3284264,Budget Explorers
261582,17.205717,7.7505,Budget Explorers
679859,9.833339,1.1839486,Budget Explorers
122958,17.243513,7.820942,Budget Explorers
274698,18.043756,-0.05809677,Budget Explorers
652291,18.713297,0.12641312,Budget Explorers
603775,16.409014,3.5651314,Budget Explorers
948404,14.518169,2.630749,Budget Explorers
605877,13.885148,2.298138,Budget Explorers
994377,13.154997,0.08448913,Budget Explorers
766927,17.164032,6.758509,Budget Explorers
702588,11.829408,-0.11548263,Budget Explorers
798248,18.851313,2.2405455,Budget Explorers
641448,17.44491,3.1456532,Budget Explorers
406047,13.218405,2.290517,Budget Explorers
909134,18.711405,0.15464915,Budget Explorers
294753,13.203075,2.3037531,Budget Explorers
520094,11.950726,1.6660919,Budget Explorers
754539,10.951789,2.0598817,Budget Explorers
189611,19.285902,1.4923425,Budget Explorers
971599,12.042257,1.7341022,Budget Explorers
485189,-3.175972,13.2723465,Drifting Stars
521384,14.630845,2.988361,Budget Explorers
128039,19.525072,1.1860648,Budget Explorers
565133,14.371425,3.246275,Budget Explorers
138746,14.384567,2.210915,Budget Explorers
564707,15.368196,2.7656407,Budget Explorers
174996,12.731989,-0.43218678,Budget Explorers
798854,9.70874,1.4638827,Budget Explorers
800075,17.682108,-0.29795954,Budget Explorers
410384,16.715637,3.7575572,Budget Explorers
692304,17.20918,7.064212,Budget Explorers
991672,12.746588,2.2679527,Budget Explorers
922388,13.893291,2.2023094,Budget Explorers
655743,17.332968,-0.1535172,Budget Explorers
348920,13.213215,2.3203099,Budget Explorers
523394,17.644161,2.9900033,Budget Explorers
981581,18.887327,2.3104584,Budget Explorers
639510,18.744255,0.10169652,Budget Explorers
744675,18.506956,-0.056087334,Budget Explorers
289177,12.85242,2.1110306,Budget Explorers
357149,17.869871,2.719242,Budget Explorers
876207,17.169687,6.7793107,Budget Explorers
224384,19.37233,1.1215899,Budget Explorers
650445,17.29031,7.90061,Budget Explorers
399982,14.450406,2.1769118,Budget Explorers
228984,12.779873,1.9881445,Budget Explorers
221388,12.466127,1.8467376,Budget Explorers
710053,16.291103,3.3038714,Budget Explorers
591576,-3.187898,13.287959,Drifting Stars
836475,19.248867,1.4735963,Budget Explorers
392235,19.06802,1.1948683,Budget Explorers
529218,18.638826,0.12457287,Budget Explorers
549132,10.935182,2.0791006,Budget Explorers
234866,12.67742,1.9986713,Budget Explorers
721984,12.44492,1.830084,Budget Explorers
772397,19.534334,1.1643993,Budget Explorers
344199,11.783616,1.6525203,Budget Explorers
909385,12.261002,1.9544863,Budget Explorers
211043,16.336176,4.178915,Budget Explorers
459801,18.188461,0.022488434,Budget Explorers
958243,18.396748,0.17091708,Budget Explorers
517758,17.569048,2.3542855,Budget Explorers
712062,10.92153,0.50823516,Budget Explorers
845945,17.745861,-0.22446433,Budget Explorers
324707,12.71949,2.2333093,Budget Explorers
184635,17.612997,3.0476108,Budget Explorers
432598,15.096551,3.7965899,Budget Explorers
524483,18.593096,0.0948667,Budget Explorers
257575,13.224287,-0.022322588,Budget Explorers
127590,10.609515,0.7261129,Budget Explorers
846374,15.173928,3.0083842,Budget Explorers
130368,14.674839,2.510061,Budget Explorers
752331,17.532959,2.3774772,Budget Explorers
986825,13.218084,2.1600857,Budget Explorers
981343,16.411554,3.53989,Budget Explorers
101581,16.666765,3.7680116,Budget Explorers
497494,13.165659,2.1538892,Budget Explorers
361816,14.332498,3.2773573,Budget Explorers
734192,17.411406,3.169813,Budget Explorers
774724,12.034471,1.8597099,Budget Explorers
906396,12.717645,-0.41179904,Budget Explorers
722976,12.450363,0.12954544,Budget Explorers
747304,10.872239,2.0890255,Budget Explorers
613804,18.63785,0.12527704,Budget Explorers
395026,18.648087,0.12369648,Budget Explorers
894466,19.09907,2.480377,Budget Explorers
610393,11.038719,0.73877,Budget Explorers
800726,13.309631,2.2205436,Budget Explorers
111171,19.059275,2.4556105,Budget Explorers
779434,12.695488,2.2364087,Budget Explorers
203184,12.726107,-0.37990046,Budget Explorers
225077,19.095594,2.4500508,Budget Explorers
365816,16.658895,3.8217623,Budget Explorers
781463,14.62909,2.5517874,Budget Explorers
644786,12.266531,1.9979358,Budget Explorers
441440,14.592903,3.077774,Budget Explorers
756791,18.96562,2.331113,Budget Explorers
819569,17.241795,-0.20151663,Budget Explorers
568547,14.166633,1.5097674,Budget Explorers
761007,-3.2213185,13.330025,Drifting Stars
830931,18.090733,-0.07941966,Budget Explorers
437269,12.827681,2.1563437,Budget Explorers
956005,17.177855,7.115611,Budget Explorers
279919,18.994806,2.364679,Budget Explorers
635249,14.594896,2.5582,Budget Explorers
849415,16.297375,4.2193155,Budget Explorers
334003,10.355315,0.96413404,Budget Explorers
256323,12.514555,0.13093047,Budget Explorers
612555,14.987611,2.8217096,Budget Explorers
411242,-3.2268493,13.343522,Drifting Stars
353128,18.73993,0.14802769,Budget Explorers
367961,11.800744,1.6705693,Budget Explorers
431899,11.804607,1.7787291,Budget Explorers
835491,14.668754,2.5677383,Budget Explorers
791355,17.956789,-0.0039318614,Budget Explorers
331258,11.764062,1.8834383,Budget Explorers
713329,19.047958,2.4667058,Budget Explorers
422805,14.3875475,2.6937914,Budget Explorers
660376,11.517327,1.6581287,Budget Explorers
626326,-3.2296247,13.349148,Drifting Stars
412854,13.213716,-0.0210008,Budget Explorers
333621,14.563137,2.5513241,Budget Explorers
270570,13.866525,2.2825234,Budget Explorers
305171,16.696693,3.754545,Budget Explorers
496325,17.683537,-0.3419924,Budget Explorers
630320,15.36294,2.868792,Budget Explorers
304944,17.190289,6.9138327,Budget Explorers
615662,17.532618,-0.3339535,Budget Explorers
534794,-3.2413013,13.361738,Drifting Stars
336341,16.67634,3.7933097,Budget Explorers
465530,10.952438,2.0265083,Budget Explorers
600598,18.356411,0.1526301,Budget Explorers
724720,15.107715,3.4063573,Budget Explorers
627489,17.153124,6.6842985,Budget Explorers
740762,19.544994,1.2013034,Budget Explorers
527622,12.652861,-0.208998,Budget Explorers
984636,14.334779,3.280492,Budget Explorers
110691,13.200172,2.3143017,Budget Explorers
737791,13.819921,2.3176482,Budget Explorers
219413,18.945196,0.5871538,Budget Explorers
501363,13.166738,2.1551743,Budget Explorers
218529,9.607159,1.4830579,Budget Explorers
881157,13.839903,2.2787704,Budget Explorers
426185,11.216883,1.4776086,Budget Explorers
546758,17.574228,-0.044997815,Budget Explorers
270723,19.534267,1.2019187,Budget Explorers
504715,12.509207,0.1430223,Budget Explorers
380183,14.584121,3.0583906,Budget Explorers
654817,11.715592,1.708724,Budget Explorers
384269,17.23026,7.092054,Budget Explorers
372183,19.06809,0.5648225,Budget Explorers
481857,17.241154,-0.21901949,Budget Explorers
411523,17.184288,7.6963067,Budget Explorers
765252,12.005004,1.7026794,Budget Explorers
539358,15.228373,3.176518,Budget Explorers
697837,19.867115,1.2995403,Budget Explorers
410921,17.090866,6.7188687,Budget Explorers
826304,12.308707,2.0716515,Budget Explorers
241167,14.293795,2.1010706,Budget Explorers
159275,18.641653,0.14160265,Budget Explorers
615439,17.064726,7.443444,Budget Explorers
458697,17.155931,7.362504,Budget Explorers
620465,17.664238,-0.07314988,Budget Explorers
654578,12.663727,2.3148017,Budget Explorers
432451,19.488863,1.3564587,Budget Explorers
440967,11.01772,1.967438,Budget Explorers
493677,18.605877,0.12593214,Budget Explorers
850418,15.27989,3.1999748,Budget Explorers
406574,19.521591,1.3726832,Budget Explorers
119837,16.440956,3.5392027,Budget Explorers
546039,16.27105,4.2378907,Budget Explorers
387129,17.246952,7.8528337,Budget Explorers
876006,19.012054,0.50575083,Budget Explorers
230311,19.881657,1.2899808,Budget Explorers
955991,13.183649,2.3167288,Budget Explorers
279409,18.04946,-0.033753917,Budget Explorers
293531,11.849635,-0.026015757,Budget Explorers
886127,16.290796,4.2379184,Budget Explorers
536021,-3.266558,13.401893,Drifting Stars
579005,18.594273,0.13254818,Budget Explorers
758372,11.32201,0.67315817,Budget Explorers
605505,19.198463,0.5702382,Budget Explorers
413185,13.221767,2.2245705,Budget Explorers
715462,13.211654,-0.025274176,Budget Explorers
739933,15.109812,3.441171,Budget Explorers
675106,18.968788,0.586623,Budget Explorers
244032,14.7117815,2.8164437,Budget Explorers
583648,10.537685,0.94072014,Budget Explorers
935504,17.395943,3.1533475,Budget Explorers
311943,12.717969,2.0826323,Budget Explorers
657339,18.43656,0.17363916,Budget Explorers
433812,18.119251,0.08249153,Budget Explorers
559304,12.733593,2.2854657,Budget Explorers
290249,17.152666,7.0963593,Budget Explorers
948815,19.20532,1.0688607,Budget Explorers
513229,13.141695,0.12010192,Budget Explorers
501278,10.942702,0.5447222,Budget Explorers
500455,13.206224,-0.014646284,Budget Explorers
418090,14.9414625,2.8257618,Budget Explorers
685314,11.912501,0.13757642,Budget Explorers
413282,16.687263,3.69913,Budget Explorers
884088,13.865009,2.3558164,Budget Explorers
445867,19.438463,1.1843865,Budget Explorers
568286,13.209029,2.1790605,Budget Explorers
105145,-3.2992666,13.444685,Drifting Stars
516329,13.74308,2.3251944,Budget Explorers
945479,15.038287,3.8248787,Budget Explorers
798216,17.486063,2.398533,Budget Explorers
784838,17.183958,7.0866346,Budget Explorers
405597,14.451792,2.6425836,Budget Explorers
502592,12.455243,0.1277767,Budget Explorers
198424,12.857374,2.0683012,Budget Explorers
814653,11.260095,1.979385,Budget Explorers
636505,15.052279,3.8110979,Budget Explorers
685346,10.948999,0.54448056,Budget Explorers
272944,14.789241,2.6691713,Budget Explorers
490984,17.564608,3.0246723,Budget Explorers
812042,11.887593,-0.17328377,Budget Explorers
192177,17.063177,6.7398405,Budget Explorers
249555,14.293062,3.3263924,Budget Explorers
103862,13.817107,2.3722148,Budget Explorers
121935,14.461652,2.2246823,Budget Explorers
224402,14.325388,3.2986522,Budget Explorers
416768,13.920784,2.3903599,Budget Explorers
667767,16.368435,3.5264406,Budget Explorers
955178,13.817346,2.305724,Budget Explorers
534716,19.31354,1.2726369,Budget Explorers
565041,10.595593,0.7732823,Budget Explorers
596004,12.305989,2.0522296,Budget Explorers
335839,19.891996,1.3196602,Budget Explorers
308379,17.575068,-0.04258906,Budget Explorers
683791,16.754467,3.3638978,Budget Explorers
715015,13.255284,2.2574458,Budget Explorers
835796,17.612938,-0.05673802,Budget Explorers
564201,16.220156,4.2698026,Budget Explorers
572410,12.315614,2.03406,Budget Explorers
306288,19.514904,1.3509359,Budget Explorers
568111,18.474998,0.16826545,Budget Explorers
201220,17.352037,-0.20236966,Budget Explorers
533766,11.910221,0.40948653,Budget Explorers
990933,11.655267,1.8050357,Budget Explorers
613265,17.61395,3.0391574,Budget Explorers
163608,11.848352,-0.04282391,Budget Explorers
237984,14.469341,2.5267813,Budget Explorers
288419,11.267358,1.7535319,Budget Explorers
666556,18.385345,0.12918375,Budget Explorers
807589,17.167692,6.9054875,Budget Explorers
135382,18.6699,0.2516645,Budget Explorers
444778,14.300696,3.3195755,Budget Explorers
502534,13.797981,2.2539084,Budget Explorers
589840,10.406891,1.0308307,Budget Explorers
551300,17.101503,6.7667937,Budget Explorers
990204,15.013657,3.8362107,Budget Explorers
148299,15.055099,2.8701248,Budget Explorers
412902,17.606121,-0.060788527,Budget Explorers
205445,19.851585,1.3054581,Budget Explorers
773293,15.032117,3.8245933,Budget Explorers
957127,11.286583,0.56620497,Budget Explorers
848248,19.46554,1.2669735,Budget Explorers
162013,12.851373,2.095299,Budget Explorers
495027,10.838425,0.7297501,Budget Explorers
106001,17.252611,7.862218,Budget Explorers
692096,17.645775,-0.11956814,Budget Explorers
544569,11.273263,0.55164003,Budget Explorers
616220,11.894891,-0.1719919,Budget Explorers
890361,-3.2879555,13.44551,Drifting Stars
778426,9.636827,1.4795134,Budget Explorers
211083,13.218417,2.2716966,Budget Explorers
693256,17.470987,2.4050314,Budget Explorers
343377,19.610802,1.2356731,Budget Explorers
608739,17.154701,7.1009874,Budget Explorers
421497,16.235939,3.2589803,Budget Explorers
703882,-3.2883427,13.439499,Drifting Stars
821404,10.62211,0.81613576,Budget Explorers
544561,11.851828,1.7536157,Budget Explorers
528074,-3.2940266,13.45497,Drifting Stars
709550,14.083708,1.6227334,Budget Explorers
601448,16.233253,4.2606025,Budget Explorers
264234,16.66787,3.7696402,Budget Explorers
989048,17.239426,-0.103310406,Budget Explorers
788460,19.647375,1.2535065,Budget Explorers
831087,17.43983,3.1335526,Budget Explorers
750776,9.807812,1.5370752,Budget Explorers
401336,4.066418,-6.2545877,Crown Holders
785836,7.3379316,-6.227177,Crown Holders
161437,6.1530304,-6.7010403,Crown Holders
654187,2.5414224,-5.8066015,Crown Holders
801821,1.4866197,-3.9315464,Crown Holders
655044,1.9357433,-4.2985067,Crown Holders
223946,4.939918,-6.522227,Crown Holders
531286,3.5218565,-5.7352557,Crown Holders
908729,2.7794352,-5.008386,Crown Holders
929701,7.874302,-5.1776824,Crown Holders
708020,3.998042,-6.1307607,Crown Holders
479872,4.897388,-6.5813966,Crown Holders
277091,2.5757911,-5.80412,Crown Holders
386363,2.201619,-4.991685,Crown Holders
307233,7.1720486,-6.3678093,Crown Holders
199342,3.7807086,-5.9697976,Crown Holders
810257,7.433274,-6.1059985,Crown Holders
252341,3.2680664,-6.2227106,Crown Holders
485397,6.060354,-6.693497,Crown Holders
249224,6.493696,-6.6837573,Crown Holders
444684,3.0867944,-6.3512316,Crown Holders
181726,3.5540407,-5.9483852,Crown Holders
530978,2.7616525,-6.082344,Crown Holders
372261,2.2764082,-4.990595,Crown Holders
738427,7.8243775,-5.726146,Crown Holders
295929,2.1937943,-4.620835,Crown Holders
437022,5.7637973,-6.624863,Crown Holders
582861,1.5509027,-3.4594007,Crown Holders
460207,6.5090966,-6.6968074,Crown Holders
567256,2.844756,-5.53592,Crown Holders
290599,2.2576573,-5.494789,Crown Holders
878909,7.17632,-6.3787117,Crown Holders
600820,-7.194024,3.1035457,Ghost Members
430228,4.2528944,-6.1135645,Crown Holders
646168,3.1589048,-5.693061,Crown Holders
866302,2.24449,-5.0527353,Crown Holders
189146,3.6197827,-5.887025,Crown Holders
277910,2.6542594,-5.667456,Crown Holders
484194,2.6390903,-5.220719,Crown Holders
618309,4.9494905,-6.5765085,Crown Holders
160686,7.384055,-6.171731,Crown Holders
355995,1.8885294,-4.260295,Crown Holders
519203,6.0125647,-6.5615487,Crown Holders
306402,2.6335475,-5.2197256,Crown Holders
446315,4.0977817,-6.2840824,Crown Holders
576716,6.5272574,-6.6491237,Crown Holders
111646,6.5539837,-6.604764,Crown Holders
685982,2.7587204,-6.0936866,Crown Holders
166037,4.6212993,-6.5331836,Crown Holders
236593,4.063824,-6.5296445,Crown Holders
784113,5.388827,-6.5719357,Crown Holders
896790,4.6536274,-6.385977,Crown Holders
990595,3.2056699,-5.75613,Crown Holders
773261,1.5120484,-3.4913244,Crown Holders
756907,6.159795,-6.716619,Crown Holders
285484,2.2559664,-5.0209107,Crown Holders
981848,3.1303694,-6.303492,Crown Holders
399575,5.271682,-6.537861,Crown Holders
852310,6.4566107,-6.6176696,Crown Holders
885007,6.111635,-6.6736255,Crown Holders
532813,4.5454526,-6.4699984,Crown Holders
425445,2.2769318,-5.4907923,Crown Holders
508854,3.562196,-5.967234,Crown Holders
141233,1.825411,-4.7692833,Crown Holders
340479,5.377173,-6.507335,Crown Holders
980651,2.8572962,-5.535728,Crown Holders
513708,2.5633745,-5.8172393,Crown Holders
796508,2.0134933,-4.7583656,Crown Holders
304770,5.797207,-6.668722,Crown Holders
654890,3.6172464,-5.9240794,Crown Holders
716393,6.4465494,-6.619323,Crown Holders
751612,2.2093575,-4.848285,Crown Holders
493427,6.047193,-6.713502,Crown Holders
204042,1.8255665,-4.7647347,Crown Holders
254683,6.7815433,-6.5372334,Crown Holders
824259,7.798357,-5.7594624,Crown Holders
259634,4.580778,-6.5391054,Crown Holders
287593,2.2074468,-4.6497817,Crown Holders
503598,4.090084,-6.5938253,Crown Holders
825593,7.8152385,-5.7648816,Crown Holders
591608,3.2075863,-5.6499095,Crown Holders
800923,1.8498982,-3.8614473,Crown Holders
127128,1.8596492,-3.6823866,Crown Holders
682308,6.117085,-6.689889,Crown Holders
974114,4.341439,-6.0109606,Crown Holders
179719,4.4914627,-6.427455,Crown Holders
780944,4.573681,-6.529909,Crown Holders
369458,2.7637408,-6.0860147,Crown Holders
202585,3.145144,-5.7650657,Crown Holders
924719,3.081433,-6.207777,Crown Holders
345608,4.2574096,-5.9885616,Crown Holders
662268,2.7065885,-5.574542,Crown Holders
526747,1.4760821,-3.9345734,Crown Holders
395121,4.537051,-6.4459066,Crown Holders
331698,3.998502,-6.236324,Crown Holders
336539,2.2574785,-4.9643884,Crown Holders
351513,-7.2030745,3.096343,Ghost Members
586542,5.8016295,-6.6664157,Crown Holders
792383,6.505703,-6.6230702,Crown Holders
274264,4.419581,-6.382475,Crown Holders
117408,2.3701963,-5.4739103,Crown Holders
498644,2.657768,-5.682558,Crown Holders
231273,4.5532317,-6.4302692,Crown Holders
329587,4.060304,-6.584199,Crown Holders
206992,3.2884095,-5.5481195,Crown Holders
469684,4.0637746,-6.5960417,Crown Holders
763520,2.8535724,-5.545001,Crown Holders
823112,7.2051225,-6.3607335,Crown Holders
768012,5.773858,-6.659292,Crown Holders
399418,4.9163017,-6.6107073,Crown Holders
734035,5.3823314,-6.5295777,Crown Holders
894340,4.298358,-5.9683204,Crown Holders
400702,5.6919594,-6.576776,Crown Holders
416124,6.860032,-6.53795,Crown Holders
837646,1.7014927,-4.019154,Crown Holders
559279,5.692337,-6.581472,Crown Holders
733693,7.8434615,-5.708503,Crown Holders
602900,2.2187684,-5.0780544,Crown Holders
543978,4.455485,-6.349743,Crown Holders
660436,4.3204036,-6.2106447,Crown Holders
472726,-7.1688085,3.120941,Ghost Members
220358,2.1198597,-4.7733173,Crown Holders
590301,1.8959534,-4.255439,Crown Holders
420464,-7.1906414,3.1052928,Ghost Members
640244,4.067416,-6.617253,Crown Holders
384920,2.7233539,-4.979954,Crown Holders
573332,5.8022594,-6.68382,Crown Holders
458320,1.93749,-3.7047834,Crown Holders
101663,3.9971182,-6.110292,Crown Holders
873458,4.0292883,-6.1173534,Crown Holders
439296,3.9884982,-6.185935,Crown Holders
521311,1.735351,-4.502342,Crown Holders
173212,3.343099,-5.6811304,Crown Holders
476875,4.9595566,-6.5569606,Crown Holders
330464,4.905565,-6.5895047,Crown Holders
