Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month,FlightInactivity,RedemptionDormancy,RawSlope,NormalizedMomentum,BDS,Class,Churned,churn_prob,churn_prediction,churn_risk_tier,churn_prediction_conservative,months_since_last_flight,flights_last_12m,redemption_rate,loyalty_card_ordinal,tenure_months,cluster_id,archetype,umap_x,umap_y
932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444.0,Married,Star,3863.31,Standard,2015,3,,,0.0,0.4545454545454545,548.8272727272728,0.780110872751216,0.2023303745382715,0,0,0.10662353,0,Low,0,0,22,0.0113768495930325,1,32,1,Budget Explorers,19.28656,0.45248055
144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618.0,Married,Star,3864.78,Standard,2016,6,,,0.0909090909090909,1.0,58.018181818181816,0.5507657016630914,0.4711339258647089,0,0,0.019588044,0,Low,0,1,10,0.0,1,17,1,Budget Explorers,10.7693815,0.6210512
988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,,Single,Star,3871.07,Standard,2013,10,,,0.0,0.4545454545454545,-149.63636363636363,0.4537329283575115,0.3002437578563829,0,0,0.11316644,0,Low,0,0,33,0.0147049269085002,1,49,1,Budget Explorers,17.260876,7.688532
286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,,Single,Star,3872.22,Standard,2016,11,,,0.0,0.6363636363636364,134.7,0.5865975658970711,0.3149298211399695,0,0,0.023716418,0,Low,0,0,11,0.0727943014246438,1,12,1,Budget Explorers,12.102682,1.6870457
205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118.0,Married,Star,3873.65,Standard,2016,8,,,0.0,0.0909090909090909,79.98181818181818,0.5610288651472994,0.1589640677285374,0,0,0.030771615,0,Low,0,0,26,0.0310110663983903,1,15,1,Budget Explorers,17.473307,-0.39923286
735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118.0,Married,Star,3873.65,Standard,2016,12,,,0.0909090909090909,0.6363636363636364,57.85454545454545,0.5506892376967354,0.3620659559637066,0,0,0.014505536,0,Low,0,1,6,0.0618011791014433,1,11,1,Budget Explorers,11.023756,1.7974066
438936,Canada,Quebec,Montreal,H2Y 2W2,Male,Bachelor,94092.0,Married,Star,3878.77,Standard,2013,10,,,0.0,1.0,181.6909090909091,0.608555468235594,0.4174333595293217,0,0,0.05223002,0,Low,0,0,26,0.0,1,49,1,Budget Explorers,17.210562,-0.37955368
354730,Canada,New Brunswick,Fredericton,E3B 2H2,Female,College,,Married,Star,3885.46,Standard,2014,10,2018.0,1.0,0.0,1.0,-164.24545454545455,0.4469063953611861,0.4659280813916442,2,1,0.6771541,1,High,1,0,20,0.0,1,37,1,Budget Explorers,19.09558,2.4377239
413741,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3885.46,Standard,2015,7,,,0.0,0.0909090909090909,146.13636363636363,0.5919415475457191,0.1496902630090115,0,0,0.08716242,0,Low,0,0,22,0.0331967792061025,1,28,1,Budget Explorers,19.07718,0.41038427
642313,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Married,Star,3885.46,Standard,2016,3,,,0.0,0.0,-328.55454545454546,0.3701280771436461,0.1889615768569061,0,0,0.3674114,1,Medium,0,0,17,0.0698386199220923,1,20,1,Budget Explorers,14.965167,2.701356
263080,Canada,Alberta,Edmonton,T9G 1W3,Male,College,,Single,Star,3886.5,Standard,2014,5,,,0.0909090909090909,1.0,69.96363636363637,0.5563475712070688,0.4694593650015157,0,0,0.30122134,0,Medium,0,1,14,0.0,1,42,1,Budget Explorers,13.265232,-0.006498532
109767,Canada,Ontario,Toronto,M1R 4K3,Female,Bachelor,89062.0,Single,Star,3886.65,Standard,2016,5,,,0.0,0.1818181818181818,-44.90909090909091,0.5026698668252586,0.2037444944978769,0,0,0.027739527,0,Low,0,0,18,0.0399874930516953,1,18,1,Budget Explorers,17.022738,3.6159806
217754,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,102400.0,Single,Star,3887.32,Standard,2015,6,,,0.2727272727272727,1.0,-150.6727272727273,0.4532486565705911,0.5731163121197317,1,1,0.9649764,1,High,1,3,20,0.0,1,29,1,Budget Explorers,18.737093,2.4796054
157005,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,98629.0,Married,Star,3890.87,Standard,2016,10,,,0.0,1.0,-111.98181818181818,0.4713281366156199,0.458601559015314,0,0,0.08405669,0,Low,0,0,28,0.0,1,13,1,Budget Explorers,17.456871,6.897503
608758,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,63795.0,Married,Star,3890.96,Standard,2013,7,,,0.0,1.0,239.87272727272727,0.6357426562732312,0.4092772031180306,0,0,0.10093666,0,Low,0,0,12,0.0,1,52,1,Budget Explorers,11.848144,-0.1858593
599341,Canada,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,54890.0,Married,Star,3891.54,Standard,2015,11,,,0.0,0.0,346.4,0.6855206983708927,0.0943437904887321,0,0,0.0037619271,0,Low,0,0,32,0.0171997480403135,1,24,1,Budget Explorers,17.224596,7.509857
333502,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,,Married,Star,3891.58,Standard,2014,3,,,0.0,1.0,275.92727272727274,0.6525902168603047,0.4042229349419086,0,0,0.029408924,0,Low,0,0,14,0.0,1,44,1,Budget Explorers,13.415604,-0.20318009
543918,Canada,Quebec,Montreal,H2T 2J6,Male,High School or Below,40736.0,Married,Star,3896.57,Standard,2012,11,,,0.0,0.0909090909090909,107.25454545454544,0.5737728595399418,0.1551408694107447,0,0,0.0017261155,0,Low,0,0,29,0.0482457205293189,1,60,1,Budget Explorers,17.616674,7.109287
119200,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,69835.0,Divorced,Star,3903.8,Standard,2017,5,,,0.0,1.0,107.26363636363637,0.5737771075380728,0.4278668677385782,0,0,0.024662493,0,Low,0,0,7,0.0,1,6,1,Budget Explorers,9.8329735,1.1953274
238119,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,75980.0,Married,Star,3906.67,Standard,2013,5,,,0.0,1.0,-54.64545454545455,0.4981202608270852,0.4505639217518744,0,0,0.08832641,0,Low,0,0,22,0.0,1,54,1,Budget Explorers,19.292038,0.49909362
730388,Canada,Ontario,Thunder Bay,K8T 5M5,Male,College,,Single,Star,3907.03,Standard,2012,5,,,0.0,1.0,208.26363636363635,0.6209723667721587,0.4137082899683523,0,0,0.0040664417,0,Low,0,0,20,0.0,1,66,1,Budget Explorers,19.076027,2.457754
127400,Canada,British Columbia,Whistler,V6T 1Y8,Female,College,,Single,Star,3914.72,Standard,2014,6,,,0.0909090909090909,0.9090909090909092,117.3,0.5784668974745651,0.4355508398485395,0,0,0.005477417,0,Low,0,1,10,0.0458015267175572,1,41,1,Budget Explorers,11.793105,1.5811687
324557,Canada,Quebec,Montreal,H2Y 2W2,Female,College,,Single,Star,3914.72,Standard,2013,2,,,0.0,0.3636363636363636,470.2818181818182,0.7434081689004057,0.1860684584207873,0,0,0.0022531417,0,Low,0,0,16,0.0248996294008647,1,57,1,Budget Explorers,14.659305,2.4220054
742002,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Single,Star,3915.8,Standard,2016,5,,,0.0909090909090909,1.0,14.954545454545457,0.5306429345171089,0.4771707560085036,0,0,0.09855175,0,Low,0,1,13,0.0,1,18,1,Budget Explorers,12.600766,-0.28744903
536567,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,5,,,0.0,1.0,358.8727272727273,0.6913489518064612,0.3925953144580616,0,0,0.21314041,0,Low,0,0,18,0.0,1,18,1,Budget Explorers,16.373985,4.1513395
704835,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,80697.0,Married,Star,3919.37,Standard,2016,9,,,0.0,0.0909090909090909,-211.0,0.425058940974066,0.1997550449805074,0,0,0.05492249,0,Low,0,0,15,0.0454566910549917,1,14,1,Budget Explorers,14.03174,2.3289359
612905,Canada,Ontario,Toronto,P2T 6G3,Female,College,,Married,Star,3920.51,Standard,2015,2,,,0.0,0.0909090909090909,65.04545454545455,0.5540494042182622,0.1610579060072486,0,0,0.026914444,0,Low,0,0,17,0.0212123471518043,1,33,1,Budget Explorers,15.458756,3.1131957
679908,Canada,Quebec,Montreal,H4G 3T4,Female,Bachelor,77601.0,Married,Star,3921.02,Standard,2015,8,,,0.0,0.7272727272727273,-227.8818181818181,0.4171704084450203,0.393030695648312,0,0,0.07284523,0,Low,0,0,24,0.0135793695111426,1,27,1,Budget Explorers,18.074139,-0.1768421
704150,Canada,Manitoba,Winnipeg,R6Y 4T5,Male,Bachelor,77601.0,Married,Star,3921.02,Standard,2014,10,,,0.0909090909090909,0.7272727272727273,-186.01818181818183,0.4367324398377265,0.4235257225941365,0,0,0.20275623,0,Low,0,1,18,0.0188409802837663,1,37,1,Budget Explorers,16.757713,3.6209493
596179,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,50879.0,Single,Star,3933.81,Standard,2014,3,,,0.0909090909090909,1.0,-604.1545454545454,0.2413457658078631,0.5639599066212775,1,1,0.9258104,1,High,1,1,30,0.0,1,44,1,Budget Explorers,17.32889,7.248772
370450,Canada,Ontario,Thunder Bay,K8T 5M5,Female,High School or Below,62160.0,Married,Star,3934.1,Standard,2012,11,,,0.0909090909090909,0.6363636363636364,-74.5909090909091,0.4888001529279328,0.3806326813943473,0,0,0.0015399386,0,Low,0,1,12,0.1089046493301812,1,60,1,Budget Explorers,12.446049,1.7834234
501030,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,93541.0,Married,Star,3934.71,Standard,2017,3,,,0.0,1.0,333.7909090909091,0.679628724963361,0.3961113825109916,0,0,0.02845791,0,Low,0,0,14,0.0,1,8,1,Budget Explorers,13.372372,-0.17450714
878633,Canada,Ontario,Trenton,K8V 4B2,Female,Doctor,163974.0,Married,Star,3936.79,Standard,2013,12,,,0.1818181818181818,1.0,-239.8,0.4116012828954356,0.5492468878586421,0,0,0.28088018,0,Low,0,2,24,0.0,1,47,1,Budget Explorers,18.029596,-0.08444553
285938,Canada,Quebec,Montreal,H2T 2J6,Female,Bachelor,75827.0,Married,Star,3939.01,Standard,2014,9,,,0.0,1.0,88.06363636363636,0.5648053354856524,0.4305583993543043,0,0,0.08949353,0,Low,0,0,19,0.0,1,38,1,Budget Explorers,17.583372,2.3827758
588237,Canada,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2013,11,,,0.0,0.6363636363636364,31.76363636363636,0.5384974830611075,0.3293598459907586,0,0,0.036931574,0,Low,0,0,23,0.0409310840852621,1,48,1,Budget Explorers,18.737215,0.11900092
645280,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,75827.0,Married,Star,3939.01,Standard,2012,12,,,0.0,0.0,242.0090909090909,0.6367409358339883,0.1089777192498035,0,0,0.005132728,0,Low,0,0,26,0.0283650826878794,1,59,1,Budget Explorers,17.45751,-0.37678233
124678,Canada,Nova Scotia,Halifax,B3J 9S2,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2013,6,,,0.0,0.8181818181818182,11.50909090909091,0.529032943225505,0.386744662486894,0,0,0.19887576,0,Low,0,0,26,0.0071274500609584,1,53,1,Budget Explorers,17.251919,-0.3307309
186015,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,9,,,0.1818181818181818,1.0,-116.98181818181818,0.4689917376436355,0.5320297514341821,0,0,0.027938467,0,Low,0,2,13,0.0,1,26,1,Budget Explorers,12.475931,0.1042348
589580,Canada,British Columbia,Whistler,V6T 1Y8,Male,Doctor,152955.0,Married,Star,3954.34,Standard,2015,8,,,0.0909090909090909,1.0,-94.17272727272729,0.4796499649540154,0.4924686468774317,0,0,0.107885525,0,Low,0,1,23,0.0,1,27,1,Budget Explorers,18.617691,-0.07362274
623688,Canada,Ontario,London,M5B 3E4,Female,Doctor,152955.0,Married,Star,3954.34,Standard,2016,5,,,0.0,0.2727272727272727,-209.2454545454545,0.425878804613326,0.254054540434184,0,0,0.051306367,0,Low,0,0,26,0.0157746736471502,1,18,1,Budget Explorers,17.319874,-0.31755266
256147,Canada,Ontario,Toronto,M1R 4K3,Female,College,,Married,Star,3958.0,Standard,2012,9,,,0.0909090909090909,0.0909090909090909,-19.863636363636363,0.5143731016758354,0.209324433133613,0,0,0.0050566196,0,Low,0,1,23,0.0096487732680594,1,62,1,Budget Explorers,18.74346,-0.10083869
329382,Canada,Quebec,Montreal,H2T 9K8,Male,College,,Single,Star,3961.59,Standard,2012,8,,,1.0,1.0,0.0,0.5236549775918099,0.842903506722457,1,1,0.9993761,1,High,1,72,0,0.0,1,63,4,Drifting Stars,-3.1268876,13.239379
140392,Canada,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,96814.0,Married,Star,3963.39,Standard,2013,7,,,0.0909090909090909,0.1818181818181818,215.43636363636364,0.6243240372974237,0.2036118797198638,0,0,0.0026111507,0,Low,0,1,15,0.0371705782089943,1,52,1,Budget Explorers,13.997331,2.2566524
230908,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Doctor,217538.0,Divorced,Star,3964.15,Standard,2012,5,,,0.0909090909090909,0.3636363636363636,-310.3363636363636,0.3786410653979313,0.331862225835166,0,0,0.0007525861,0,Low,0,1,26,0.0213019591582875,1,66,1,Budget Explorers,17.391762,-0.27255082
972581,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,48744.0,Married,Star,3964.53,Standard,2016,2,,,0.0,0.2727272727272727,-104.44545454545457,0.4748497270661201,0.2393632636983457,0,0,0.34228274,0,Medium,0,0,16,0.0313373547153155,1,21,1,Budget Explorers,14.656031,2.4052026
910875,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,84914.0,Married,Star,3966.13,Standard,2012,11,,,0.3636363636363636,1.0,-571.6454545454545,0.2565366071238929,0.6684935633173775,1,1,0.99823254,1,High,1,4,8,0.0,1,60,1,Budget Explorers,10.282626,1.0158362
501704,Canada,Quebec,Hull,J8Y 3Z5,Male,College,,Divorced,Star,3974.86,Standard,2013,5,,,0.1818181818181818,0.3636363636363636,-66.5909090909091,0.4925383912831079,0.3340566644332494,0,0,0.016088346,0,Low,0,2,16,0.0907329673877946,1,54,1,Budget Explorers,14.107463,1.9938923
567875,Canada,Quebec,Quebec City,G1B 3L5,Female,Bachelor,102457.0,Married,Star,3979.72,Standard,2017,5,,,0.3636363636363636,1.0,42.27272727272727,0.5434081689004058,0.5824320947844237,1,1,0.996463,1,High,1,4,3,0.0,1,6,1,Budget Explorers,9.699902,1.483719
688524,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,103862.0,Married,Star,3980.42,Standard,2013,3,,,0.0,0.2727272727272727,-86.51818181818182,0.4832267793802171,0.2368501480041166,0,0,0.007851683,0,Low,0,0,7,0.2039291926736928,1,56,1,Budget Explorers,10.899229,2.0766199
269070,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Master,93153.0,Married,Star,3985.32,Standard,2013,1,,,0.0,1.0,-107.01818181818182,0.4736475435950809,0.4579057369214757,0,0,0.016102536,0,Low,0,0,26,0.0,1,58,1,Budget Explorers,17.229446,-0.3667704
387705,Canada,Quebec,Hull,J8Y 3Z5,Female,Master,93153.0,Married,Star,3985.32,Standard,2013,4,,,0.0,0.6363636363636364,761.6636363636363,0.8795650049913979,0.2270395894116715,0,0,0.0047993786,0,Low,0,0,20,0.0155734459548634,1,55,1,Budget Explorers,18.975756,2.2928343
923293,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,86793.0,Divorced,Star,3985.55,Standard,2016,6,,,0.0,0.9090909090909092,202.43636363636364,0.6182493999702641,0.3872524527361934,0,0,0.04214567,0,Low,0,0,30,0.011558423341282,1,17,1,Budget Explorers,17.231922,7.285405
328936,Canada,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,53118.0,Married,Star,4005.72,Standard,2015,3,,,0.0,0.2727272727272727,279.25454545454545,0.654144984176207,0.1855746865653197,0,0,0.057223246,0,Low,0,0,26,0.0318117977528089,1,32,1,Budget Explorers,17.477749,-0.38044664
845864,Canada,British Columbia,Vancouver,V5R 1W3,Female,Doctor,115440.0,Married,Star,4013.85,Standard,2013,4,,,0.0909090909090909,0.3636363636363636,-105.45454545454544,0.4743781992735923,0.3031410856724677,0,0,0.028183984,0,Low,0,1,26,0.0428420200510617,1,55,1,Budget Explorers,17.575945,-0.34328422
645265,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,73313.0,Married,Star,4013.95,Standard,2013,3,,,0.0,1.0,66.02727272727273,0.5545081880163973,0.4336475435950808,0,0,0.02330978,0,Low,0,0,16,0.0,1,56,1,Budget Explorers,14.41629,3.1818907
158560,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2015,12,,,0.1818181818181818,0.3636363636363636,-2.2818181818181817,0.5225887300609589,0.3250415627998941,0,0,0.19357528,0,Low,0,2,12,0.073026815446632,1,23,1,Budget Explorers,12.413151,1.663013
417584,Canada,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,59262.0,Married,Star,4014.45,Standard,2014,5,,,0.0909090909090909,0.3636363636363636,108.48181818181818,0.5743463392876108,0.2731506436682622,0,0,0.06131104,0,Low,0,1,19,0.0193577191695634,1,42,1,Budget Explorers,17.744396,2.931066
425854,Canada,Ontario,Toronto,P1J 8T7,Female,High School or Below,39079.0,Married,Star,4016.13,Standard,2016,11,,,0.0909090909090909,0.2727272727272727,2.0545454545454547,0.524615025169389,0.2607973106310015,0,0,0.008315939,0,Low,0,1,20,0.0201884253028263,1,12,1,Budget Explorers,18.85358,2.2440145
695855,Canada,Quebec,Montreal,H2T 2J6,Female,College,,Divorced,Star,4019.38,Standard,2013,4,,,0.0,0.7272727272727273,-272.2181818181818,0.3964529215607145,0.3992459417136038,0,0,0.059928656,0,Low,0,0,15,0.017943125231491,1,55,1,Budget Explorers,13.982539,2.2067902
699511,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,College,,Divorced,Star,4019.38,Standard,2014,7,,,0.0,1.0,82.05454545454545,0.5619974087211402,0.4314007773836579,0,0,0.050143432,0,Low,0,0,20,0.0,1,40,1,Budget Explorers,19.15695,2.4749885
377322,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,62518.0,Married,Star,4023.81,Standard,2016,5,,,0.0,0.3636363636363636,267.1090909090909,0.6484696586733503,0.214550011488904,0,0,0.14232898,0,Low,0,0,26,0.0198921802505776,1,18,1,Budget Explorers,17.342924,-0.31234407
511053,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,62518.0,Married,Star,4023.81,Standard,2015,3,,,0.0909090909090909,0.0909090909090909,-214.3,0.4235169176525563,0.2365812883405967,0,0,0.05676698,0,Low,0,1,13,0.0352202362654253,1,32,1,Budget Explorers,12.867085,2.0634737
796670,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,47536.0,Married,Star,4035.68,Standard,2014,2,,,0.0,0.8181818181818182,-74.23636363636363,0.4889658248550371,0.3987647979980343,0,0,0.031328235,0,Low,0,0,26,0.0104213190412386,1,45,1,Budget Explorers,17.254007,-0.34358695
556136,Canada,Quebec,Montreal,H4G 3T4,Female,College,,Married,Star,4035.77,Standard,2017,1,,,0.1818181818181818,0.5454545454545454,65.48181818181818,0.5542533081285445,0.370087643925073,0,0,0.13217497,0,Low,0,2,17,0.0339192708333333,1,10,1,Budget Explorers,15.284839,2.7653296
513081,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,98320.0,Married,Star,4037.5,Standard,2015,11,,,0.0,0.0,244.9636363636364,0.6381215352265246,0.1085635394320426,0,0,0.0053037736,0,Low,0,0,9,0.0623628956439987,1,24,1,Budget Explorers,11.565249,1.624476
930718,Canada,Quebec,Montreal,H2T 2J6,Female,High School or Below,63577.0,Married,Star,4037.55,Standard,2015,7,,,0.0,0.0,169.79090909090908,0.602994838682271,0.1191015483953187,0,0,0.00915811,0,Low,0,0,22,0.0392510552328727,1,28,1,Budget Explorers,19.038345,0.41164544
235872,Canada,Ontario,Toronto,P1J 8T7,Female,Doctor,89057.0,Single,Star,4046.94,Standard,2013,3,,,0.0909090909090909,0.7272727272727273,-83.53636363636363,0.484620122767146,0.4091594177153107,0,0,0.08817238,0,Low,0,1,21,0.0150240384615384,1,56,1,Budget Explorers,19.5521,1.1942214
295147,Canada,British Columbia,Kelowna,V09 2E9,Male,Bachelor,99814.0,Married,Star,4048.16,Standard,2017,5,,,0.0909090909090909,0.0909090909090909,280.54545454545456,0.654748199910792,0.167211903663126,0,0,0.038052883,0,Low,0,1,15,0.041316317384438,1,6,1,Budget Explorers,13.886774,2.283061
306110,Canada,Ontario,Toronto,P1J 8T7,Male,Bachelor,64587.0,Married,Star,4053.37,Standard,2013,5,,,0.4545454545454545,0.4545454545454545,-327.5272727272727,0.3706081009324357,0.5069993879020874,0,0,0.061121088,0,Low,0,5,6,0.0746744120678347,1,54,1,Budget Explorers,11.070906,1.7389277
295217,Canada,Ontario,Toronto,M1R 4K3,Female,Doctor,67411.0,Divorced,Star,4059.57,Standard,2016,6,,,0.3636363636363636,0.5454545454545454,-387.2363636363637,0.3427072492088104,0.506278734328266,0,0,0.26419547,0,Low,0,4,9,0.0561285419606991,1,17,1,Budget Explorers,11.405854,1.5389302
591731,Canada,Ontario,Toronto,P2T 6G3,Male,Bachelor,51370.0,Married,Star,4064.18,Standard,2013,9,,,0.0909090909090909,0.3636363636363636,-387.8272727272727,0.3424311293303032,0.3427252066554545,0,0,0.06948717,0,Low,0,1,24,0.0162776025236593,1,50,1,Budget Explorers,18.053556,-0.20286205
326905,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,,Married,Star,4068.09,Standard,2017,2,,,0.0909090909090909,1.0,171.4909090909091,0.6037892143327458,0.4552268720638126,0,0,0.05251043,0,Low,0,1,19,0.0,1,9,1,Budget Explorers,17.608324,2.499345
375511,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,59300.0,Single,Star,4070.05,Standard,2014,7,,,0.0,0.2727272727272727,291.46363636363634,0.6598500456659799,0.1838631681183878,0,0,0.003968653,0,Low,0,0,23,0.0349790254920942,1,40,1,Budget Explorers,18.758522,0.11506445
797685,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,,Married,Star,4079.13,Standard,2017,6,,,0.0909090909090909,0.3636363636363636,196.6727272727273,0.6155561691552857,0.2607876947079597,0,0,0.0105929095,0,Low,0,1,6,0.1003663003663003,1,5,1,Budget Explorers,11.027274,1.9109075
216467,Canada,New Brunswick,Fredericton,E3B 2H2,Male,Doctor,90995.0,Married,Star,4083.56,Standard,2014,7,,,0.0909090909090909,1.0,113.52727272727272,0.5767039782502497,0.4633524428885615,0,0,0.13317685,0,Low,0,1,11,0.0,1,40,1,Budget Explorers,10.950608,0.4892284
539673,Canada,Ontario,Toronto,P5S 6R4,Female,Bachelor,49558.0,Married,Star,4087.51,Standard,2015,2,2018.0,6.0,0.0,0.0909090909090909,-120.60909090909092,0.467296786389414,0.187083691355903,2,1,0.914047,1,High,1,0,19,0.0213871591153102,1,33,1,Budget Explorers,17.66907,3.0586767
484718,Canada,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,76367.0,Single,Star,4089.46,Standard,2012,6,,,0.0909090909090909,0.1818181818181818,326.54545454545456,0.676243070453049,0.1880361697731762,0,0,0.0008568582,0,Low,0,1,17,0.0163581067115481,1,65,1,Budget Explorers,15.381638,3.1359076
528492,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,60360.0,Married,Star,4090.75,Standard,2015,6,2018.0,11.0,0.0,0.0,-396.5272727272727,0.3383657951190502,0.1984902614642849,2,1,0.8991954,1,High,1,0,19,0.0206946965113934,1,29,1,Budget Explorers,17.700521,3.099381
