Loyalty Number,months_since_last_flight,months_since_last_redemption,months_since_last_any_activity,flights_last_3m,flights_last_6m,flights_last_12m,active_months_last_12m,zero_flight_months_last_12m,flights_total_ever,distance_last_12m,points_accumulated_last_12m,points_redeemed_last_12m,dollar_redeemed_last_12m,points_accumulated_total,points_redeemed_total,redemption_rate,flight_trend_ratio,points_trend_ratio,distance_per_flight,pref_season,flew_in_winter,flew_in_summer,flew_in_spring,flew_in_fall
333502,0,72,0,6,11,14,4,8,14,19704,19704.0,0,0,19704.0,0,0.0,1.7142857142857142,1.7377182298010556,1407.4285714285713,Fall,0,1,1,1
543918,0,1,0,10,19,29,9,3,29,41185,41185.0,1987,357,41185.0,1987,0.04824572052931893,1.3793103448275863,1.3445671967949495,1420.1724137931035,Fall,1,1,1,1
119200,0,72,0,1,7,7,3,9,7,9796,9796.0,0,0,9796.0,0,0.0,0.5714285714285714,0.8244181298489179,1399.4285714285713,Summer,0,1,0,1
238119,0,72,0,5,15,22,7,5,22,32812,32812.0,0,0,32812.0,0,0.0,0.9090909090909091,0.4982323540168231,1491.4545454545455,Fall,1,1,1,1
730388,0,72,0,5,16,20,7,5,20,28547,28547.0,0,0,28547.0,0,0.0,1.0,0.6724349318667461,1427.35,Summer,0,1,1,1
127400,1,10,1,4,7,10,4,8,10,11528,11528.0,528,95,11528.0,528,0.04580152671755725,1.6,2.2782789729354613,1152.8,Fall,1,1,0,1
324557,0,4,0,6,12,16,8,4,16,25904,25904.0,645,116,25904.0,645,0.02489962940086473,1.5,1.5081840642371835,1619.0,Fall,0,1,1,1
742002,1,72,1,4,4,13,4,8,13,23503,23503.0,0,0,23503.0,0,0.0,1.2307692307692308,1.6528953750585031,1807.923076923077,Spring,1,0,1,1
536567,0,72,0,5,17,18,6,6,18,18854,18854.0,0,0,18854.0,0,0.0,1.1111111111111112,1.322159753898377,1047.4444444444443,Summer,0,1,1,1
704835,0,1,0,6,9,15,6,6,15,21185,21185.0,963,173,21185.0,963,0.04545669105499174,1.6,1.0244984658956808,1412.3333333333333,Fall,1,1,1,1
612905,0,1,0,7,11,17,7,5,17,26824,26824.0,569,102,26824.0,569,0.021212347151804353,1.6470588235294117,1.3799582463465554,1577.8823529411766,Fall,1,1,1,1
679908,0,8,0,6,12,24,9,3,24,39398,39398.0,535,96,39398.0,535,0.013579369511142697,1.0,0.9706076450581248,1641.5833333333333,Spring,1,1,1,1
704150,1,8,1,4,10,18,7,5,18,21708,21708.0,409,74,21708.0,409,0.018840980283766354,0.8888888888888888,0.9712548369264787,1206.0,Fall,1,1,1,1
596179,1,72,1,8,11,30,9,3,30,51941,51941.0,0,0,51941.0,0,0.0,1.0666666666666667,0.9684834716312739,1731.3666666666666,Spring,1,1,1,1
370450,1,7,1,4,5,12,5,7,12,12690,12690.0,1382,249,12690.0,1382,0.10890464933018125,1.3333333333333333,1.5066981875492513,1057.5,Spring,1,1,1,1
501030,0,72,0,7,11,14,6,6,14,15798,15798.0,0,0,15798.0,0,0.0,2.0,2.0460817825041144,1128.4285714285713,Summer,0,1,1,1
878633,2,72,2,4,13,24,6,6,24,28236,28236.0,0,0,28236.0,0,0.0,0.6666666666666666,0.405723190253577,1176.5,Spring,1,1,1,1
285938,0,72,0,8,12,19,7,5,19,27321,27321.0,0,0,27321.0,0,0.0,1.6842105263157894,1.681929651184071,1437.9473684210527,Fall,1,1,1,1
588237,0,7,0,7,14,23,8,4,23,22941,22941.0,939,169,22941.0,939,0.04093108408526219,1.2173913043478262,1.1037007976984439,997.4347826086956,Spring,1,1,1,1
645280,0,0,0,6,19,26,9,3,26,28662,28662.0,813,146,28662.0,813,0.028365082687879423,0.9230769230769231,0.9040541483497313,1102.3846153846155,Fall,1,1,1,1
124678,0,9,0,5,16,26,9,3,26,42652,42652.0,304,55,42652.0,304,0.007127450060958455,0.7692307692307693,0.9819938103723155,1640.4615384615386,Spring,1,1,1,1
186015,2,72,2,3,9,13,4,8,13,20050,20050.0,0,0,20050.0,0,0.0,0.9230769230769231,1.4106733167082295,1542.3076923076924,Winter,1,1,0,1
589580,1,72,1,2,10,23,7,5,23,40658,40658.0,0,0,40658.0,0,0.0,0.34782608695652173,0.46849328545427715,1767.7391304347825,Spring,1,1,1,1
623688,0,3,0,4,11,26,8,4,26,43741,43741.0,690,124,43741.0,690,0.01577467364715027,0.6153846153846154,0.8767975126311699,1682.3461538461538,Spring,1,1,1,1
256147,1,1,1,2,13,23,8,4,23,35134,35134.0,339,61,35134.0,339,0.00964877326805943,0.34782608695652173,0.5184721352536005,1527.5652173913043,Spring,0,1,1,1
329382,72,72,72,0,0,0,0,12,0,0,0.0,0,0,0.0,0,0.0,1.0,1.0,0.0,None,0,0,0,0
140392,1,2,1,8,11,15,7,5,15,15254,15254.0,567,102,15254.0,567,0.03717057820899436,2.1333333333333333,2.2792710108823915,1016.9333333333333,Fall,1,1,1,1
230908,1,4,1,8,15,26,8,4,26,38588,38588.0,822,148,38588.0,822,0.021301959158287552,1.2307692307692308,0.5075152897273764,1484.1538461538462,Fall,1,1,1,1
972581,0,3,0,4,9,16,8,4,16,20391,20391.0,639,115,20391.0,639,0.03133735471531558,1.0,0.7742631553136188,1274.4375,Fall,1,1,1,1
910875,4,72,4,0,1,8,4,8,8,18109,18109.0,0,0,18109.0,0,0.0,0.0,0.0,2263.625,Winter,1,1,1,0
501704,2,4,2,5,9,16,4,8,16,15485,15485.0,1405,253,15485.0,1405,0.09073296738779464,1.25,0.7775266386825961,967.8125,Fall,1,1,1,1
567875,4,72,4,0,3,3,2,10,3,7122,7122.0,0,0,7122.0,0,0.0,0.0,0.0,2374.0,Summer,0,1,0,0
688524,0,3,0,2,2,7,4,8,7,9773,9773.0,1993,359,9773.0,1993,0.20392919267369283,1.1428571428571428,1.398137726389031,1396.142857142857,Winter,1,0,1,1
269070,0,72,0,6,14,26,10,2,26,31968,31968.0,0,0,31968.0,0,0.0,0.9230769230769231,0.9966216216216216,1229.5384615384614,Fall,1,1,1,1
387705,0,7,0,10,15,20,6,6,20,30308,30308.0,472,85,30308.0,472,0.015573445954863402,2.0,2.8606308565395273,1515.4,Fall,1,1,1,1
923293,0,10,0,5,21,30,9,3,30,35645,35645.0,412,74,35645.0,412,0.011558423341282088,0.6666666666666666,0.7491653808388273,1188.1666666666667,Summer,1,1,1,1
328936,0,3,0,10,19,26,8,4,26,28480,28480.0,906,163,28480.0,906,0.03181179775280899,1.5384615384615385,1.331179775280899,1095.3846153846155,Fall,1,1,1,1
845864,1,4,1,1,13,26,8,4,26,32118,32118.0,1376,248,32118.0,1376,0.04284202005106171,0.15384615384615385,0.10760321315150383,1235.3076923076924,Spring,1,1,1,1
645265,0,72,0,4,9,16,7,5,16,26504,26504.0,0,0,26504.0,0,0.0,1.0,1.0298822819197102,1656.5,Fall,1,1,1,1
158560,2,4,2,3,5,12,5,7,12,17117,17117.0,1250,225,17117.0,1250,0.073026815446632,1.0,1.742127709294853,1426.4166666666667,Spring,1,1,1,1
417584,1,4,1,4,15,19,6,6,19,31357,31357.0,607,109,31357.0,607,0.019357719169563414,0.8421052631578947,0.5684217240169659,1650.3684210526317,Fall,1,1,1,1
425854,1,3,1,5,14,20,6,6,20,31206,31206.0,630,113,31206.0,630,0.020188425302826378,1.0,1.248477856822406,1560.3,Fall,1,1,1,1
695855,0,8,0,3,6,15,9,3,15,24299,24299.0,436,78,24299.0,436,0.017943125231491008,0.8,0.7503189431663855,1619.9333333333334,Fall,1,1,1,1
699511,0,72,0,6,12,20,7,5,20,30672,30672.0,0,0,30672.0,0,0.0,1.2,1.3338549817423058,1533.6,Fall,1,1,1,1
377322,0,4,0,4,17,26,7,5,26,53237,53237.0,1059,191,53237.0,1059,0.019892180250577606,0.6153846153846154,0.4973984259067942,2047.576923076923,Summer,1,1,1,1
511053,1,1,1,2,4,13,5,7,13,22771,22771.0,802,145,22771.0,802,0.03522023626542532,0.6153846153846154,0.8249088753238769,1751.6153846153845,Winter,1,1,1,1
796670,0,9,0,2,15,26,8,4,26,40302,40302.0,420,76,40302.0,420,0.010421319041238648,0.3076923076923077,0.35670686318296857,1550.076923076923,Summer,1,1,1,1
556136,2,6,2,2,13,17,7,5,17,15360,15360.0,521,94,15360.0,521,0.033919270833333334,0.47058823529411764,0.4869791666666667,903.5294117647059,Spring,0,1,1,1
513081,0,0,0,4,6,9,6,6,9,15955,15955.0,995,180,15955.0,995,0.062362895643998745,1.7777777777777777,2.278909432779693,1772.7777777777778,Fall,1,1,1,1
930718,0,0,0,5,14,22,8,4,22,27719,27719.0,1088,196,27719.0,1088,0.039251055232872756,0.9090909090909091,1.5635484685594718,1259.9545454545455,Summer,1,1,1,1
235872,1,8,1,4,13,21,6,6,21,31616,31616.0,475,86,31616.0,475,0.015024038461538462,0.7619047619047619,0.6370192307692307,1505.5238095238096,Fall,1,1,1,1
295147,1,1,1,6,15,15,5,7,15,23429,23429.0,968,174,23429.0,968,0.04131631738443809,1.6,0.9571044432114046,1561.9333333333334,Summer,0,1,0,1
306110,5,5,5,0,1,6,4,8,6,10673,10673.0,797,143,10673.0,797,0.07467441206783472,0.0,0.0,1778.8333333333333,Winter,1,1,1,0
295217,4,6,4,0,3,9,4,8,9,18422,18422.0,1034,186,18422.0,1034,0.05612854196069916,0.0,0.0,2046.888888888889,Winter,1,1,1,0
591731,1,4,1,3,11,24,10,2,24,39625,39625.0,645,116,39625.0,645,0.016277602523659306,0.5,0.5937665615141956,1651.0416666666667,Spring,1,1,1,1
326905,1,72,1,2,11,19,6,6,19,24066,24066.0,0,0,24066.0,0,0.0,0.42105263157894735,0.5099310230200282,1266.6315789473683,Summer,0,1,1,1
375511,0,3,0,10,18,23,8,4,23,30990,30990.0,1084,195,30990.0,1084,0.03497902549209422,1.7391304347826086,1.4657631494030332,1347.391304347826,Fall,1,1,1,1
797685,1,4,1,4,6,6,3,9,6,8190,8190.0,822,148,8190.0,822,0.10036630036630037,2.6666666666666665,2.431257631257631,1365.0,Fall,0,1,0,1
216467,1,72,1,3,9,11,6,6,11,19036,19036.0,0,0,19036.0,0,0.0,1.0909090909090908,0.9855011557049801,1730.5454545454545,Fall,0,1,1,1
539673,0,1,0,6,8,19,7,5,19,23285,23285.0,498,90,23285.0,498,0.021387159115310285,1.263157894736842,1.4256388232767876,1225.5263157894738,Fall,1,1,1,1
484718,1,2,1,6,11,17,7,5,17,33867,33867.0,554,100,33867.0,554,0.016358106711548116,1.411764705882353,1.63628310744973,1992.1764705882354,Fall,1,1,1,1
528492,0,0,0,8,8,19,7,5,19,39672,39672.0,821,147,39672.0,821,0.020694696511393426,1.6842105263157894,1.4618874773139745,2088.0,Fall,1,0,1,1
632793,0,4,0,4,12,15,7,5,15,12709,12709.0,506,91,12709.0,506,0.039814304823353526,1.0666666666666667,1.3508537257061926,847.2666666666667,Fall,0,1,1,1
705196,1,72,1,5,18,28,9,3,28,49630,49630.0,0,0,49630.0,0,0.0,0.7142857142857143,0.7011082006850695,1772.5,Spring,1,1,1,1
119488,0,72,0,11,11,11,3,9,11,11618,11618.0,0,0,11618.0,0,0.0,4.0,4.0,1056.1818181818182,Fall,0,0,0,1
287750,0,5,0,2,8,18,7,5,18,25490,25490.0,1213,219,25490.0,1213,0.04758728913299333,0.4444444444444444,0.2451157316594743,1416.111111111111,Fall,1,1,1,1
735846,3,1,1,0,3,5,3,9,5,4831,4831.0,558,100,4831.0,558,0.11550403643138067,0.0,0.0,966.2,Spring,1,1,1,0
606026,0,7,0,9,21,26,10,2,26,38410,38410.0,504,91,38410.0,504,0.013121582921114294,1.3846153846153846,1.4358760739390783,1477.3076923076924,Fall,1,1,1,1
460291,1,72,1,3,5,15,5,7,15,28755,28755.0,0,0,28755.0,0,0.0,0.8,0.9176838810641628,1917.0,Winter,1,1,1,1
743001,0,72,0,3,8,8,2,10,8,10682,10682.0,0,0,10682.0,0,0.0,1.5,2.7961055982025838,1335.25,Fall,0,1,0,1
869799,0,72,0,3,5,7,3,9,7,7485,7485.0,0,0,7485.0,0,0.0,1.7142857142857142,1.213627254509018,1069.2857142857142,Fall,1,1,0,1
279419,0,1,0,14,30,41,9,3,41,69113,69113.0,1354,243,69113.0,1354,0.019591104423191005,1.3658536585365855,1.7009824490327434,1685.6829268292684,Fall,1,1,1,1
170585,1,2,1,1,10,17,7,5,17,27484,27484.0,405,73,27484.0,405,0.014735846310580702,0.23529411764705882,0.20477368650851405,1616.7058823529412,Spring,1,1,1,1
188340,0,1,0,9,14,15,5,7,15,17597,17597.0,992,179,17597.0,992,0.05637324543956356,2.4,2.8141160425072456,1173.1333333333334,Fall,0,1,1,1
670817,0,4,0,7,10,20,7,5,20,29277,29277.0,682,123,29277.0,682,0.023294736482563104,1.4,1.7738156231854356,1463.85,Spring,1,1,1,1
509513,0,2,0,8,18,22,7,5,22,47993,47993.0,576,104,47993.0,576,0.012001750255245556,1.4545454545454546,1.5166378430187735,2181.5,Fall,1,1,0,1
779247,0,72,0,3,19,22,6,6,22,28593,28593.0,0,0,28593.0,0,0.0,0.5454545454545454,0.27489245619557234,1299.6818181818182,Summer,1,1,1,1
111255,0,72,0,8,15,19,8,4,19,27417,27417.0,0,0,27417.0,0,0.0,1.6842105263157894,1.6147645621329831,1443.0,Summer,1,1,1,1
763061,3,8,3,0,8,10,3,9,10,21024,21024.0,515,93,21024.0,515,0.024495814307458143,0.0,0.0,2102.4,Summer,0,1,1,0
428919,0,72,0,1,5,13,6,6,13,17414,17414.0,0,0,17414.0,0,0.0,0.3076923076923077,0.5485241759503847,1339.5384615384614,Summer,1,1,1,1
139863,1,1,1,4,13,16,6,6,16,33709,33709.0,857,154,33709.0,857,0.025423477409593876,1.0,0.7913613575009641,2106.8125,Fall,1,1,0,1
695755,72,72,72,0,0,0,0,12,0,0,0.0,0,0,0.0,0,0.0,1.0,1.0,0.0,None,0,0,0,0
355331,0,0,0,8,18,31,10,2,31,42129,42129.0,1915,344,42129.0,1915,0.045455624391749154,1.032258064516129,1.2224358517885543,1359.0,Fall,1,1,1,1
578837,0,4,0,4,10,20,9,3,20,29394,29394.0,704,127,29394.0,704,0.023950466081513234,0.8,0.44716608831734367,1469.7,Summer,1,1,1,1
467182,1,72,1,1,7,22,7,5,22,34096,34096.0,0,0,34096.0,0,0.0,0.18181818181818182,0.09631628343500703,1549.8181818181818,Spring,1,1,1,1
601407,4,72,4,0,5,11,3,9,11,13832,13832.0,0,0,13832.0,0,0.0,0.0,0.0,1257.4545454545455,Spring,0,1,1,0
700871,0,72,0,8,13,21,8,4,21,27662,27662.0,0,0,27662.0,0,0.0,1.5238095238095237,2.0553828356590267,1317.2380952380952,Fall,1,1,1,1
203809,72,72,72,0,0,0,0,12,0,0,0.0,0,0,0.0,0,0.0,1.0,1.0,0.0,None,0,0,0,0
705589,0,72,0,4,13,23,8,4,23,40539,40539.0,0,0,40539.0,0,0.0,0.6956521739130435,0.8808308049039196,1762.5652173913043,Spring,1,1,1,1
746060,0,8,0,10,22,26,9,3,26,39044,39044.0,421,76,39044.0,421,0.010782706689888332,1.5384615384615385,1.9270566540313492,1501.6923076923076,Fall,0,1,1,1
469718,1,72,1,2,13,20,7,5,20,19924,19924.0,0,0,19924.0,0,0.0,0.4,0.8564545272033728,996.2,Spring,1,1,1,1
164429,0,1,0,8,13,26,8,4,26,34731,34731.0,890,160,34731.0,890,0.02562552186807175,1.2307692307692308,0.9366848060810227,1335.8076923076924,Fall,1,1,1,1
708373,0,72,0,6,17,19,6,6,19,24055,24055.0,0,0,24055.0,0,0.0,1.263157894736842,1.4102681355227604,1266.0526315789473,Summer,0,1,1,1
225088,1,72,1,2,11,12,4,8,12,24196,24196.0,0,0,24196.0,0,0.0,0.6666666666666666,0.7667383038518764,2016.3333333333333,Summer,1,1,0,1
100214,1,0,0,5,5,7,3,9,7,11016,11016.0,861,155,11016.0,861,0.07815904139433551,2.857142857142857,2.6884531590413943,1573.7142857142858,Fall,1,0,0,1
268128,0,6,0,3,8,19,8,4,19,22571,22571.0,992,179,22571.0,992,0.04395020158610607,0.631578947368421,0.37091843516016126,1187.9473684210527,Fall,1,1,1,1
930584,0,8,0,4,12,16,6,6,16,21025,21025.0,468,84,21025.0,468,0.02225921521997622,1.0,0.8772413793103448,1314.0625,Fall,1,1,1,1
327796,0,72,0,2,6,6,2,10,6,13630,13630.0,0,0,13630.0,0,0.0,1.3333333333333333,1.2308143800440206,2271.6666666666665,Fall,0,1,0,1
947467,0,72,0,5,5,13,5,7,13,21556,21556.0,0,0,21556.0,0,0.0,1.5384615384615385,2.0341436259046204,1658.1538461538462,Fall,1,0,1,1
743510,2,72,2,1,4,8,3,9,8,11922,11922.0,0,0,11922.0,0,0.0,0.5,0.5911759771850361,1490.25,Fall,0,1,1,1
580324,0,5,0,2,5,10,5,7,10,20215,20215.0,1089,196,20215.0,1089,0.053870887954489244,0.8,0.9600791491466732,2021.5,Summer,1,1,1,1
101945,0,72,0,6,12,19,7,5,19,34441,34441.0,0,0,34441.0,0,0.0,1.263157894736842,1.3386370895154032,1812.6842105263158,Fall,1,1,1,1
713636,0,72,0,8,13,20,7,5,20,28233,28233.0,0,0,28233.0,0,0.0,1.6,1.5686607870222788,1411.65,Fall,1,1,1,1
302509,0,72,0,4,7,7,3,9,7,10714,10714.0,0,0,10714.0,0,0.0,2.2857142857142856,3.418704498786634,1530.5714285714287,Fall,0,1,0,1
789421,1,72,1,3,8,11,6,6,11,15526,15526.0,0,0,15526.0,0,0.0,1.0909090909090908,1.2974365580316887,1411.4545454545455,Fall,0,1,1,1
404426,0,0,0,3,6,7,3,9,7,11848,11848.0,502,90,11848.0,502,0.04237002025658339,1.7142857142857142,2.304186360567184,1692.5714285714287,Fall,1,1,0,1
438023,0,72,0,1,1,11,4,8,11,16378,16378.0,0,0,16378.0,0,0.0,0.36363636363636365,0.2701184515813897,1488.909090909091,Spring,1,0,1,1
872932,0,0,0,9,10,16,7,5,16,23207,23207.0,448,81,23207.0,448,0.019304520187874347,2.25,2.0204248718059206,1450.4375,Fall,1,1,1,1
407945,0,7,0,4,14,22,9,3,22,43512,43512.0,536,96,43512.0,536,0.012318440889869461,0.7272727272727273,0.7567567567567568,1977.8181818181818,Spring,1,1,1,1
211714,0,0,0,2,12,22,9,3,22,32355,32355.0,1352,243,32355.0,1352,0.041786431772523565,0.36363636363636365,0.33923659403492507,1470.6818181818182,Summer,1,1,1,1
410982,0,0,0,8,16,21,6,6,21,30879,30879.0,807,145,30879.0,807,0.02613426600602351,1.5238095238095237,1.7170245150425856,1470.4285714285713,Fall,0,1,1,1
905213,1,4,1,1,7,11,3,9,11,18576,18576.0,1234,222,18576.0,1234,0.06642980189491818,0.36363636363636365,0.2648578811369509,1688.7272727272727,Fall,0,1,1,1
147898,2,2,2,1,10,20,7,5,20,31656,31656.0,952,171,31656.0,952,0.03007328784432651,0.2,0.06785443517816528,1582.8,Spring,1,1,1,1
610946,0,5,0,3,10,17,8,4,17,21498,21498.0,1419,256,21498.0,1419,0.06600614010605638,0.7058823529411765,0.5336310354451577,1264.5882352941176,Summer,1,1,1,1
383108,0,72,0,7,13,15,5,7,15,16553,16553.0,0,0,16553.0,0,0.0,1.8666666666666667,1.9363257415574215,1103.5333333333333,Fall,1,1,0,1
836343,1,4,1,7,18,18,4,8,18,23364,23364.0,559,101,23364.0,559,0.023925697654511215,1.5555555555555556,1.724191063174114,1298.0,Fall,0,1,0,1
585357,0,10,0,7,9,21,10,2,21,33875,33875.0,350,63,33875.0,350,0.010332103321033211,1.3333333333333333,1.272088560885609,1613.095238095238,Fall,1,1,1,1
784804,1,72,1,3,3,6,3,9,6,8685,8685.0,0,0,8685.0,0,0.0,2.0,2.051813471502591,1447.5,Fall,0,0,1,1
719633,72,72,72,0,0,0,0,12,0,0,0.0,0,0,0.0,0,0.0,1.0,1.0,0.0,None,0,0,0,0
715764,0,4,0,1,5,11,5,7,11,18251,18251.0,717,129,18251.0,717,0.03928551860172046,0.36363636363636365,0.3859514547148101,1659.1818181818182,Summer,1,1,1,1
753473,1,72,1,2,14,22,7,5,22,28837,28837.0,0,0,28837.0,0,0.0,0.36363636363636365,0.2327565280715747,1310.7727272727273,Summer,1,1,1,1
980856,0,72,0,2,15,21,7,5,21,40098,40098.0,0,0,40098.0,0,0.0,0.38095238095238093,0.4081999102199611,1909.4285714285713,Summer,1,1,1,1
271660,2,72,2,2,5,11,6,6,11,15280,15280.0,0,0,15280.0,0,0.0,0.7272727272727273,0.6418848167539267,1389.090909090909,Spring,1,1,1,1
264936,1,72,1,6,11,16,6,6,16,17576,17576.0,0,0,17576.0,0,0.0,1.5,1.2589895311788804,1098.5,Fall,0,1,1,1
976513,1,5,1,1,11,19,7,5,19,24273,24273.0,692,125,24273.0,692,0.02850904296955465,0.21052631578947367,0.2432332220986281,1277.5263157894738,Spring,1,1,1,1
828776,0,72,0,3,10,10,3,9,10,14635,14635.0,0,0,14635.0,0,0.0,1.2,1.5201913221728733,1463.5,Summer,0,1,0,1
240362,0,72,0,8,9,11,5,7,11,20131,20131.0,0,0,20131.0,0,0.0,2.909090909090909,2.8970244895931647,1830.090909090909,Fall,1,1,1,1
137845,0,72,0,8,12,22,10,2,22,38681,38681.0,0,0,38681.0,0,0.0,1.4545454545454546,1.5140249735012021,1758.2272727272727,Fall,1,1,1,1
430569,0,5,0,3,11,20,7,5,20,30414,30414.0,1026,185,30414.0,1026,0.0337344643913987,0.6,0.21739988163345828,1520.7,Spring,1,1,1,1
625870,2,72,2,1,8,16,7,5,16,24201,24201.0,0,0,24201.0,0,0.0,0.25,0.12363125490682203,1512.5625,Spring,1,1,1,1
917630,1,72,1,3,7,12,4,8,12,20919,20919.0,0,0,20919.0,0,0.0,1.0,1.220708446866485,1743.25,Winter,1,1,0,1
717660,3,72,3,0,6,9,5,7,9,12665,12665.0,0,0,12665.0,0,0.0,0.0,0.0,1407.2222222222222,Summer,1,1,1,0
450621,2,7,2,1,5,11,6,6,11,13865,13865.0,407,73,13865.0,407,0.029354489722322394,0.36363636363636365,0.3421565091958168,1260.4545454545455,Spring,1,1,1,1
939562,0,8,0,7,14,26,8,4,26,33523,33523.0,400,72,33523.0,400,0.011932106315067267,1.0769230769230769,1.496405452972586,1289.3461538461538,Fall,1,1,1,1
135250,1,6,1,3,12,17,5,7,17,24628,24628.0,364,66,24628.0,364,0.01477992528828975,0.7058823529411765,0.4034432353418873,1448.7058823529412,Spring,0,1,1,1
714555,0,5,0,4,15,25,9,3,25,38541,38541.0,638,115,38541.0,638,0.01655379984951091,0.64,0.679380400093407,1541.64,Summer,1,1,1,1
947868,0,9,0,11,14,24,7,5,24,44709,44709.0,441,79,44709.0,441,0.00986378581493659,1.8333333333333333,1.6785882037173723,1862.875,Fall,1,1,1,1
228580,0,0,0,5,9,13,6,6,13,15195,15195.0,1112,200,15195.0,1112,0.07318196775255018,1.5384615384615385,1.9416913458374465,1168.8461538461538,Fall,1,1,1,1
