Loyalty Number,Table,Anomaly Type,Details,Recommended Action
113578,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
113656,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
114214,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
114924,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-07, Flight activity up to 2018-12 (5 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
116207,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-09, Flight activity up to 2018-12 (15 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
117725,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
117832,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
117939,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
117975,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
118298,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
118376,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
118511,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
118688,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
118729,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
119917,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
120206,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
120635,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
121236,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
121351,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
121469,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
121999,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
122206,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
122517,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
123151,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
123538,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
123586,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
124085,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
124536,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
124931,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
124987,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
126100,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-07, Flight activity up to 2018-12 (48 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
126148,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
126181,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
126308,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
126526,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
128245,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
128405,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
128754,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
129071,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
129328,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
129743,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
130217,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-04, Flight activity up to 2018-12 (20 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
130439,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
131637,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
131717,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
132928,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-02, Flight activity up to 2018-12 (22 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
133463,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
134827,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
135635,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
135872,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
135878,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-05, Flight activity up to 2018-12 (7 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
136772,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
136879,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
137383,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
137529,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
137858,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
138025,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
138065,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-06, Flight activity up to 2018-12 (6 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
138777,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
138873,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
139270,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
139356,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
139479,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-03, Flight activity up to 2018-12 (9 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
140042,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
140130,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
140223,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-06, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
140375,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-07, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
140735,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-08, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
141043,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
142434,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
142649,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
144301,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
144695,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
144702,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
144936,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-01, Flight activity up to 2018-12 (11 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
145292,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2013-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
146572,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
147986,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
148258,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
148570,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
148766,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
149430,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
149542,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-11, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
149841,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-08, Flight activity up to 2018-12 (4 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
149981,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
150233,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-11, Flight activity up to 2018-12 (13 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
150596,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2014-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
150671,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-09, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
152007,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-09, Flight activity up to 2018-12 (3 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
152499,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-04, Flight activity up to 2018-12 (8 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
152685,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-05, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
153075,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-01, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
153645,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-01, Flight activity up to 2018-12 (23 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
153656,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
153760,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-03, Flight activity up to 2018-12 (21 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
153968,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-02, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
154136,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-06, Flight activity up to 2018-12 (18 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
154726,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-08, Flight activity up to 2018-12 (16 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
154889,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-07, Flight activity up to 2018-12 (17 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
154958,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-03, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
155020,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-10, Flight activity up to 2018-12 (2 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
155253,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
155348,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-10, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
155623,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-04, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
156031,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2015-08, Flight activity up to 2018-12 (48 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
157300,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-11, Flight activity up to 2018-12 (1 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
157771,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-05, Flight activity up to 2018-12 (19 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
157971,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2016-12, Flight activity up to 2018-12 (24 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
159486,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2018-02, Flight activity up to 2018-12 (10 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
160779,Customer Flight Activity,Flight Activity After Cancellation,"Cancelled: 2017-12, Flight activity up to 2018-12 (12 months, 0 total flights)",Investigate loyalty cancellation processing; drop post-cancellation activity or correct cancellation date
