Loyalty Number,education_ordinal,loyalty_card_ordinal,is_married,is_single,is_male,is_promo_enrollment,tenure_months,salary_imputed,province_Alberta,province_British Columbia,province_Manitoba,province_New Brunswick,province_Newfoundland,province_Nova Scotia,province_Ontario,province_Prince Edward Island,province_Quebec,province_Saskatchewan,province_Yukon
536567,3,1,1,0,1,0,18,80697.0,1,0,0,0,0,0,0,0,0,0,0
704835,3,1,1,0,1,0,14,80697.0,0,1,0,0,0,0,0,0,0,0,0
612905,2,1,1,0,0,0,33,74161.0,0,0,0,0,0,0,1,0,0,0,0
679908,3,1,1,0,0,0,27,77601.0,0,0,0,0,0,0,0,0,1,0,0
704150,3,1,1,0,1,0,37,77601.0,0,0,1,0,0,0,0,0,0,0,0
596179,3,1,0,1,0,0,44,50879.0,0,0,0,1,0,0,0,0,0,0,0
370450,1,1,1,0,0,0,60,62160.0,0,0,0,0,0,0,1,0,0,0,0
501030,3,1,1,0,1,0,8,93541.0,0,1,0,0,0,0,0,0,0,0,0
878633,5,1,1,0,0,0,47,163974.0,0,0,0,0,0,0,1,0,0,0,0
285938,3,1,1,0,0,0,38,75827.0,0,0,0,0,0,0,0,0,1,0,0
588237,3,1,1,0,1,0,48,75827.0,0,0,0,0,0,0,0,0,1,0,0
645280,3,1,1,0,1,0,59,75827.0,0,1,0,0,0,0,0,0,0,0,0
124678,5,1,1,0,1,0,53,152955.0,0,0,0,0,0,1,0,0,0,0,0
186015,5,1,1,0,1,0,26,152955.0,0,1,0,0,0,0,0,0,0,0,0
589580,5,1,1,0,1,0,27,152955.0,0,1,0,0,0,0,0,0,0,0,0
623688,5,1,1,0,0,0,18,152955.0,0,0,0,0,0,0,1,0,0,0,0
256147,2,1,1,0,0,0,62,74161.0,0,0,0,0,0,0,1,0,0,0,0
329382,2,1,0,1,1,0,63,74161.0,0,0,0,0,0,0,0,0,1,0,0
140392,3,1,1,0,0,0,52,96814.0,0,1,0,0,0,0,0,0,0,0,0
230908,5,1,0,0,1,0,66,217538.0,0,1,0,0,0,0,0,0,0,0,0
972581,1,1,1,0,1,0,21,48744.0,0,1,0,0,0,0,0,0,0,0,0
910875,3,1,1,0,0,0,60,84914.0,0,0,0,0,0,0,0,0,1,0,0
501704,2,1,0,0,1,0,54,74161.0,0,0,0,0,0,0,0,0,1,0,0
567875,3,1,1,0,0,0,6,102457.0,0,0,0,0,0,0,0,0,1,0,0
688524,3,1,1,0,0,0,56,103862.0,0,0,1,0,0,0,0,0,0,0,0
269070,4,1,1,0,1,0,58,93153.0,0,1,0,0,0,0,0,0,0,0,0
387705,4,1,1,0,0,0,55,93153.0,0,0,0,0,0,0,0,0,1,0,0
923293,3,1,0,0,1,0,17,86793.0,0,0,0,0,0,0,0,0,0,1,0
328936,3,1,1,0,0,0,32,53118.0,0,0,0,0,0,0,1,0,0,0,0
845864,5,1,1,0,0,0,55,115440.0,0,1,0,0,0,0,0,0,0,0,0
645265,3,1,1,0,1,0,56,73313.0,0,0,0,0,0,0,0,0,1,0,0
158560,3,1,1,0,1,0,23,59262.0,0,1,0,0,0,0,0,0,0,0,0
417584,3,1,1,0,1,0,42,59262.0,0,1,0,0,0,0,0,0,0,0,0
425854,1,1,1,0,0,0,12,39079.0,0,0,0,0,0,0,1,0,0,0,0
695855,2,1,0,0,0,0,55,74161.0,0,0,0,0,0,0,0,0,1,0,0
699511,2,1,0,0,0,0,40,74161.0,0,1,0,0,0,0,0,0,0,0,0
377322,3,1,1,0,0,0,18,62518.0,1,0,0,0,0,0,0,0,0,0,0
511053,3,1,1,0,1,0,32,62518.0,0,0,0,0,0,0,1,0,0,0,0
796670,3,1,1,0,0,0,45,47536.0,0,0,1,0,0,0,0,0,0,0,0
556136,2,1,1,0,0,0,10,74161.0,0,0,0,0,0,0,0,0,1,0,0
513081,3,1,1,0,0,0,24,98320.0,1,0,0,0,0,0,0,0,0,0,0
930718,1,1,1,0,0,0,28,63577.0,0,0,0,0,0,0,0,0,1,0,0
235872,5,1,0,1,0,0,56,89057.0,0,0,0,0,0,0,1,0,0,0,0
295147,3,1,1,0,1,0,6,99814.0,0,1,0,0,0,0,0,0,0,0,0
306110,3,1,1,0,1,0,54,64587.0,0,0,0,0,0,0,1,0,0,0,0
295217,5,1,0,0,0,0,17,67411.0,0,0,0,0,0,0,1,0,0,0,0
591731,3,1,1,0,1,0,50,51370.0,0,0,0,0,0,0,1,0,0,0,0
326905,2,1,1,0,0,0,9,74161.0,0,1,0,0,0,0,0,0,0,0,0
375511,3,1,0,1,0,0,40,59300.0,0,0,0,0,0,0,0,0,1,0,0
797685,2,1,1,0,1,0,5,74161.0,1,0,0,0,0,0,0,0,0,0,0
216467,5,1,1,0,1,0,40,90995.0,0,0,0,1,0,0,0,0,0,0,0
539673,3,1,1,0,0,0,33,49558.0,0,0,0,0,0,0,1,0,0,0,0
484718,3,1,0,1,1,0,65,76367.0,0,1,0,0,0,0,0,0,0,0,0
528492,3,1,1,0,1,0,29,60360.0,0,0,0,0,0,0,0,0,1,0,0
632793,1,1,0,1,0,0,17,60370.0,0,0,0,0,0,0,0,0,1,0,0
705196,2,1,0,1,0,0,48,74161.0,0,1,0,0,0,0,0,0,0,0,0
119488,2,1,0,1,0,0,5,74161.0,0,0,0,0,0,0,0,0,1,0,0
287750,2,1,0,1,0,0,63,74161.0,0,0,0,0,0,0,1,0,0,0,0
735846,3,1,1,0,1,0,63,95318.0,0,0,0,0,0,0,1,0,0,0,0
606026,3,1,0,1,1,0,28,55207.0,0,1,0,0,0,0,0,0,0,0,0
460291,3,1,0,0,0,0,26,55476.0,0,1,0,0,0,0,0,0,0,0,0
743001,3,1,1,0,0,0,6,79533.0,0,1,0,0,0,0,0,0,0,0,0
869799,3,1,1,0,0,0,32,79533.0,0,0,0,0,0,0,1,0,0,0,0
279419,2,1,0,1,0,0,52,74161.0,0,1,0,0,0,0,0,0,0,0,0
170585,3,1,0,1,1,0,51,82675.0,0,0,0,0,0,0,1,0,0,0,0
188340,3,1,0,1,1,0,7,82675.0,0,0,0,0,0,0,1,0,0,0,0
670817,3,1,0,1,1,0,11,82675.0,0,0,0,0,0,0,1,0,0,0,0
509513,2,1,0,1,1,0,59,74161.0,0,1,0,0,0,0,0,0,0,0,0
779247,3,1,1,0,1,0,62,86987.0,0,0,1,0,0,0,0,0,0,0,0
111255,1,1,1,0,1,0,56,70272.0,0,0,0,0,0,0,0,0,1,0,0
763061,3,1,1,0,1,0,43,56845.0,0,0,0,0,0,0,1,0,0,0,0
428919,3,1,0,0,0,0,28,58209.0,0,0,0,0,0,0,0,0,1,0,0
139863,3,1,1,0,1,0,25,67223.0,0,0,0,0,0,0,0,0,1,0,0
695755,3,1,1,0,0,0,67,79088.0,0,1,0,0,0,0,0,0,0,0,0
355331,2,1,0,0,1,0,52,74161.0,0,0,0,0,0,0,1,0,0,0,0
578837,2,1,0,1,1,0,66,74161.0,0,0,0,0,0,0,1,0,0,0,0
467182,3,1,1,0,0,0,47,102347.0,1,0,0,0,0,0,0,0,0,0,0
601407,3,1,1,0,1,0,26,72809.0,0,0,0,0,0,0,1,0,0,0,0
700871,3,1,1,0,0,0,23,74567.0,0,0,0,0,1,0,0,0,0,0,0
203809,1,1,1,0,0,0,64,54160.0,1,0,0,0,0,0,0,0,0,0,0
705589,2,1,0,1,0,0,66,74161.0,0,0,0,0,0,0,1,0,0,0,0
746060,2,1,1,0,1,0,43,74161.0,0,1,0,0,0,0,0,0,0,0,0
469718,3,1,1,0,1,0,58,73544.0,0,0,0,0,0,0,1,0,0,0,0
164429,3,1,0,1,0,0,62,57852.0,0,1,0,0,0,0,0,0,0,0,0
708373,3,1,0,1,0,0,8,57852.0,0,0,0,0,0,0,1,0,0,0,0
225088,3,1,1,0,1,0,26,97991.0,0,1,0,0,0,0,0,0,0,0,0
100214,3,1,1,0,1,0,27,63253.0,0,1,0,0,0,0,0,0,0,0,0
268128,1,1,1,0,0,0,58,47663.0,0,0,0,0,0,0,1,0,0,0,0
930584,2,1,0,1,1,0,28,74161.0,0,1,0,0,0,0,0,0,0,0,0
327796,2,1,0,1,1,0,5,74161.0,0,0,0,0,0,0,0,0,1,0,0
947467,3,1,1,0,0,0,33,49937.0,0,1,0,0,0,0,0,0,0,0,0
743510,2,1,0,1,1,0,18,74161.0,0,1,0,0,0,0,0,0,0,0,0
580324,3,1,1,0,1,0,53,61113.0,0,1,0,0,0,0,0,0,0,0,0
101945,3,1,1,0,1,0,48,86098.0,0,0,0,0,0,1,0,0,0,0,0
713636,5,1,1,0,1,0,39,48109.0,0,0,0,0,0,0,1,0,0,0,0
302509,5,1,1,0,1,0,8,74238.0,0,1,0,0,0,0,0,0,0,0,0
789421,2,1,0,1,0,0,12,74161.0,0,1,0,0,0,0,0,0,0,0,0
404426,5,1,1,0,0,0,38,99696.0,0,1,0,0,0,0,0,0,0,0,0
438023,2,1,1,0,1,0,58,74161.0,0,1,0,0,0,0,0,0,0,0,0
872932,1,1,1,0,1,0,32,72685.0,0,0,0,0,0,0,0,0,1,0,0
407945,3,1,1,0,0,0,59,75108.0,0,0,0,1,0,0,0,0,0,0,0
211714,5,1,1,0,0,0,29,103572.0,0,1,0,0,0,0,0,0,0,0,0
410982,4,1,1,0,1,0,9,132353.0,0,0,0,0,0,0,1,0,0,0,0
905213,4,1,1,0,0,0,25,132353.0,0,1,0,0,0,0,0,0,0,0,0
147898,1,1,0,0,0,0,63,59849.0,0,0,0,0,0,0,0,0,1,0,0
610946,3,1,1,0,0,0,11,56947.0,0,0,1,0,0,0,0,0,0,0,0
383108,3,1,1,0,0,0,65,64497.0,0,1,0,0,0,0,0,0,0,0,0
836343,3,1,1,0,0,0,7,64497.0,0,0,0,0,0,0,1,0,0,0,0
585357,2,1,0,1,1,0,13,74161.0,0,0,0,0,0,0,0,0,1,0,0
784804,2,1,0,1,0,0,27,74161.0,1,0,0,0,0,0,0,0,0,0,0
719633,3,1,0,0,1,0,11,52109.0,0,1,0,0,0,0,0,0,0,0,0
715764,2,1,0,1,1,0,15,74161.0,0,0,1,0,0,0,0,0,0,0,0
753473,5,1,0,1,0,0,52,70996.0,0,0,0,0,0,0,1,0,0,0,0
980856,5,1,0,1,1,0,33,70996.0,0,0,0,0,0,1,0,0,0,0,0
271660,2,1,1,0,1,0,31,74161.0,0,1,0,0,0,0,0,0,0,0,0
264936,2,1,0,1,0,0,51,74161.0,0,1,0,0,0,0,0,0,0,0,0
976513,3,1,1,0,0,0,39,92067.0,0,0,0,0,0,0,0,0,1,0,0
828776,3,1,1,0,1,0,6,60899.0,0,0,0,0,0,0,1,0,0,0,0
240362,3,1,1,0,1,0,37,58756.0,0,0,0,0,0,0,1,0,0,0,0
137845,3,1,1,0,0,0,53,88445.0,0,1,0,0,0,0,0,0,0,0,0
430569,3,1,1,0,1,0,13,87462.0,0,0,0,0,0,0,0,0,1,0,0
625870,3,1,1,0,0,0,51,61809.0,0,0,0,0,0,0,1,0,0,0,0
917630,3,1,1,0,0,0,11,61809.0,0,0,0,0,0,0,1,0,0,0,0
717660,2,1,0,1,1,0,32,74161.0,0,1,0,0,0,0,0,0,0,0,0
450621,3,1,1,0,0,0,32,77083.0,0,0,0,0,0,0,0,0,1,0,0
939562,3,1,1,0,0,0,11,95467.0,0,0,0,0,0,0,1,0,0,0,0
135250,3,1,1,0,1,0,51,88089.0,0,0,0,0,0,0,1,0,0,0,0
714555,3,1,0,0,1,0,51,64387.0,0,0,0,0,0,0,1,0,0,0,0
947868,3,1,1,0,1,0,66,96733.0,0,0,0,0,0,0,0,0,1,0,0
228580,3,1,0,1,1,0,66,54643.0,0,0,0,0,0,0,1,0,0,0,0
557500,3,1,1,0,0,0,24,49606.0,0,0,0,0,0,0,1,0,0,0,0
238233,3,1,1,0,1,0,7,85577.0,0,0,0,0,0,0,1,0,0,0,0
979309,3,1,0,1,1,0,56,63654.0,0,0,0,0,0,0,0,0,1,0,0
717700,3,1,1,0,0,0,26,62093.0,0,1,0,0,0,0,0,0,0,0,0
245465,5,1,1,0,1,0,27,69818.0,0,0,0,0,0,0,1,0,0,0,0
709920,3,1,1,0,0,0,58,82427.0,0,1,0,0,0,0,0,0,0,0,0
143784,3,1,1,0,0,0,58,76159.0,0,0,0,0,0,0,0,0,1,0,0
602176,3,1,1,0,0,0,15,76159.0,0,0,0,0,0,0,0,0,1,0,0
870998,3,1,1,0,1,0,19,76159.0,0,1,0,0,0,0,0,0,0,0,0
958224,3,1,1,0,0,0,23,76159.0,0,1,0,0,0,0,0,0,0,0,0
837628,3,1,1,0,1,0,37,60928.0,0,1,0,0,0,0,0,0,0,0,0
395460,2,1,0,1,1,0,47,74161.0,1,0,0,0,0,0,0,0,0,0,0
136547,3,1,1,0,0,0,62,92131.0,1,0,0,0,0,0,0,0,0,0,0
166712,4,1,0,1,1,0,39,114551.0,0,0,0,0,0,0,0,0,0,1,0
217695,4,1,0,1,1,0,50,114551.0,0,0,0,0,0,0,1,0,0,0,0
263707,4,1,0,1,0,0,42,114551.0,0,0,0,0,0,1,0,0,0,0,0
638368,4,1,0,1,1,0,48,114551.0,0,0,0,0,0,0,0,0,1,0,0
695529,4,1,0,1,1,0,59,114551.0,0,1,0,0,0,0,0,0,0,0,0
915571,4,1,0,1,1,0,28,114551.0,0,1,0,0,0,0,0,0,0,0,0
642109,3,1,1,0,1,0,45,94908.0,0,1,0,0,0,0,0,0,0,0,0
833701,2,1,0,1,1,0,45,74161.0,0,1,0,0,0,0,0,0,0,0,0
275442,3,1,1,0,1,0,22,87262.0,0,0,0,1,0,0,0,0,0,0,0
374345,3,1,1,0,0,0,25,87262.0,0,0,0,0,0,0,0,0,0,1,0
384825,3,1,1,0,0,0,63,87262.0,0,0,0,0,0,0,1,0,0,0,0
564650,3,1,1,0,1,0,51,87262.0,0,1,0,0,0,0,0,0,0,0,0
277649,3,1,0,0,1,0,63,94838.0,0,0,0,0,0,0,1,0,0,0,0
732013,3,1,1,0,0,0,26,90142.0,0,0,0,0,0,0,1,0,0,0,0
793318,2,1,0,1,1,0,21,74161.0,0,1,0,0,0,0,0,0,0,0,0
830024,2,1,0,1,0,0,31,74161.0,0,0,0,0,0,0,0,0,1,0,0
966117,3,1,0,0,1,0,62,71797.0,1,0,0,0,0,0,0,0,0,0,0
265836,3,1,0,1,0,0,53,64692.0,0,0,0,0,0,0,0,0,1,0,0
474174,5,1,1,0,0,0,24,218703.0,0,0,0,0,0,0,1,0,0,0,0
202299,5,1,1,0,0,0,8,245427.0,0,0,0,1,0,0,0,0,0,0,0
497467,5,1,1,0,0,0,32,245427.0,0,0,0,0,0,0,0,0,1,0,0
635225,3,1,0,0,0,0,32,78573.0,0,1,0,0,0,0,0,0,0,0,0
980198,3,1,0,0,0,0,9,78573.0,0,0,0,0,0,0,0,0,1,0,0
861924,2,1,0,1,1,0,50,74161.0,0,0,0,0,0,1,0,0,0,0,0
769731,1,1,1,0,0,0,20,61040.0,0,0,0,0,0,0,1,0,0,0,0
639701,4,1,0,1,0,0,67,72027.0,0,0,0,0,0,0,1,0,0,0,0
998090,3,1,1,0,1,0,16,51427.0,0,1,0,0,0,0,0,0,0,0,0
283747,2,1,0,0,1,0,19,74161.0,0,0,0,0,0,0,0,0,1,0,0
816593,2,1,0,1,1,0,24,74161.0,0,1,0,0,0,0,0,0,0,0,0
440939,1,1,1,0,0,0,14,68812.0,0,0,1,0,0,0,0,0,0,0,0
531201,2,1,1,0,0,0,63,74161.0,0,1,0,0,0,0,0,0,0,0,0
585629,2,1,0,1,1,0,20,74161.0,0,0,0,0,0,0,0,0,1,0,0
347932,3,1,1,0,1,0,62,78444.0,0,0,0,1,0,0,0,0,0,0,0
417886,3,1,1,0,0,0,33,91100.0,0,1,0,0,0,0,0,0,0,0,0
203550,3,1,1,0,1,0,48,53610.0,0,0,0,0,0,0,0,0,1,0,0
181825,3,1,1,0,0,0,31,74770.0,1,0,0,0,0,0,0,0,0,0,0
261582,3,1,1,0,1,0,64,74770.0,0,0,0,1,0,0,0,0,0,0,0
679859,3,1,1,0,0,0,38,74770.0,0,1,0,0,0,0,0,0,0,0,0
122958,3,1,1,0,1,0,17,49512.0,0,0,0,0,0,1,0,0,0,0,0
274698,3,1,1,0,1,0,50,57188.0,0,1,0,0,0,0,0,0,0,0,0
652291,3,1,0,0,0,0,49,96749.0,0,1,0,0,0,0,0,0,0,0,0
603775,2,1,1,0,1,0,44,74161.0,0,0,0,0,0,0,1,0,0,0,0
948404,5,1,1,0,0,0,35,86499.0,0,0,1,0,0,0,0,0,0,0,0
605877,2,1,1,0,0,0,11,74161.0,0,0,0,0,0,0,1,0,0,0,0
994377,3,1,0,1,0,0,47,53530.0,0,1,0,0,0,0,0,0,0,0,0
766927,3,1,0,0,1,0,19,71936.0,0,0,0,0,0,0,1,0,0,0,0
702588,4,1,0,0,1,0,12,94440.0,1,0,0,0,0,0,0,0,0,0,0
798248,4,1,0,0,0,0,66,94440.0,0,1,0,0,0,0,0,0,0,0,0
641448,3,1,1,0,1,0,24,83194.0,0,1,0,0,0,0,0,0,0,0,0
406047,2,1,0,1,0,0,8,74161.0,0,0,0,0,0,0,1,0,0,0,0
909134,2,1,0,1,1,0,18,74161.0,0,1,0,0,0,0,0,0,0,0,0
294753,2,1,0,1,0,0,34,74161.0,0,0,0,0,0,0,1,0,0,0,0
520094,3,1,1,0,0,0,13,52881.0,0,0,0,0,0,0,0,0,1,0,0
754539,2,1,0,1,1,0,17,74161.0,0,0,0,0,0,0,0,0,1,0,0
189611,2,1,0,1,1,0,61,74161.0,0,1,0,0,0,0,0,0,0,0,0
971599,2,1,0,1,1,0,53,74161.0,1,0,0,0,0,0,0,0,0,0,0
485189,2,1,0,1,1,0,62,74161.0,0,0,0,0,0,0,1,0,0,0,0
521384,3,1,1,0,0,0,22,71069.0,0,1,0,0,0,0,0,0,0,0,0
128039,3,1,1,0,1,0,38,94052.0,0,0,0,0,0,0,0,0,0,1,0
565133,3,1,0,0,1,0,55,62202.0,0,0,0,0,0,0,1,0,0,0,0
138746,1,1,1,0,0,0,59,57020.0,0,1,0,0,0,0,0,0,0,0,0
564707,1,1,1,0,0,0,49,57020.0,0,0,0,0,0,0,1,0,0,0,0
174996,2,1,0,1,0,0,37,74161.0,0,0,0,0,0,0,0,0,0,1,0
798854,2,1,1,0,0,0,5,74161.0,0,1,0,0,0,0,0,0,0,0,0
800075,1,1,0,1,0,0,21,62621.0,0,0,0,0,0,0,0,0,1,0,0
410384,2,1,0,1,1,0,62,74161.0,0,0,0,1,0,0,0,0,0,0,0
692304,2,1,0,1,0,0,13,74161.0,0,0,0,0,0,0,0,0,1,0,0
991672,2,1,0,1,1,0,7,74161.0,0,0,0,0,0,0,0,0,1,0,0
922388,3,1,1,0,0,0,11,91236.0,0,1,0,0,0,0,0,0,0,0,0
655743,1,1,0,1,0,0,52,60806.0,0,0,0,0,0,0,0,0,1,0,0
348920,3,1,1,0,1,0,55,95947.0,0,0,0,0,0,0,0,0,1,0,0
523394,3,1,1,0,1,0,36,95947.0,0,1,0,0,0,0,0,0,0,0,0
981581,1,1,1,0,0,0,49,71398.0,0,1,0,0,0,0,0,0,0,0,0
639510,2,1,0,1,0,0,59,74161.0,0,0,1,0,0,0,0,0,0,0,0
744675,3,1,1,0,0,0,33,60757.0,0,0,0,0,0,0,1,0,0,0,0
289177,3,1,1,0,1,0,35,55909.0,0,0,0,0,0,0,1,0,0,0,0
357149,2,1,1,0,0,0,18,74161.0,0,0,0,0,0,0,0,0,1,0,0
876207,3,1,1,0,0,0,40,99902.0,0,0,0,0,0,0,0,0,1,0,0
224384,3,1,1,0,0,0,55,97789.0,0,0,0,0,0,0,1,0,0,0,0
650445,3,1,1,0,0,0,15,79568.0,0,0,0,0,0,0,1,0,0,0,0
399982,2,1,0,1,0,0,53,74161.0,0,1,0,0,0,0,0,0,0,0,0
228984,3,1,1,0,1,0,24,57254.0,0,1,0,0,0,0,0,0,0,0,0
221388,2,1,1,0,1,0,52,74161.0,0,0,0,0,0,0,1,0,0,0,0
710053,3,1,1,0,0,0,17,49253.0,0,0,0,0,0,0,0,0,1,0,0
591576,2,1,0,1,0,0,60,74161.0,0,0,0,0,0,0,0,0,1,0,0
836475,3,1,1,0,0,0,39,75487.0,0,1,0,0,0,0,0,0,0,0,0
392235,3,1,0,1,0,0,52,53768.0,0,1,0,0,0,0,0,0,0,0,0
529218,2,1,0,1,1,0,33,74161.0,0,1,0,0,0,0,0,0,0,0,0
549132,3,1,1,0,0,0,6,56443.0,0,1,0,0,0,0,0,0,0,0,0
234866,2,1,0,1,1,0,39,74161.0,0,0,0,0,0,1,0,0,0,0,0
721984,3,1,1,0,1,0,8,59500.0,0,0,0,1,0,0,0,0,0,0,0
772397,1,1,1,0,1,0,43,80050.0,0,0,0,0,0,0,1,0,0,0,0
344199,2,1,1,0,1,0,64,74161.0,0,0,0,0,0,0,1,0,0,0,0
909385,1,1,0,1,1,0,20,44510.0,0,0,0,0,0,0,1,0,0,0,0
211043,2,1,0,1,0,0,64,74161.0,0,0,0,0,0,0,0,0,0,0,1
459801,2,1,0,1,0,0,65,74161.0,0,0,0,0,0,0,1,0,0,0,0
958243,2,1,1,0,1,0,10,74161.0,0,0,0,0,0,0,1,0,0,0,0
517758,5,1,0,0,1,0,59,269011.0,0,0,0,0,0,0,0,0,0,0,1
712062,5,1,0,0,1,0,15,269011.0,0,0,0,0,0,0,1,0,0,0,0
845945,3,1,0,0,0,0,46,98851.0,0,1,0,0,0,0,0,0,0,0,0
324707,2,1,1,0,1,0,56,74161.0,0,0,0,0,0,0,0,0,1,0,0
184635,3,1,0,1,0,0,37,104581.0,0,0,0,0,0,0,1,0,0,0,0
432598,3,1,1,0,0,0,38,67447.0,0,0,0,0,0,0,1,0,0,0,0
524483,3,1,1,0,0,0,35,67447.0,0,1,0,0,0,0,0,0,0,0,0
257575,3,1,1,0,1,0,17,82460.0,0,0,0,0,0,0,1,0,0,0,0
127590,3,1,1,0,1,0,7,80927.0,0,0,0,0,0,0,0,0,1,0,0
846374,3,1,1,0,1,0,20,48538.0,0,0,0,0,0,0,1,0,0,0,0
130368,3,1,1,0,1,0,49,92859.0,0,0,0,0,0,0,1,0,0,0,0
752331,3,1,1,0,0,0,32,85766.0,0,0,0,0,0,0,0,0,1,0,0
986825,3,1,1,0,0,0,50,85766.0,0,1,0,0,0,0,0,0,0,0,0
981343,2,1,1,0,1,0,61,74161.0,0,0,0,0,0,0,1,0,0,0,0
101581,3,1,1,0,1,0,61,87781.0,0,0,0,0,0,0,1,0,0,0,0
497494,3,1,1,0,1,0,16,59207.0,0,0,0,0,0,0,0,0,1,0,0
361816,1,1,0,1,0,0,44,65673.0,0,1,0,0,0,0,0,0,0,0,0
734192,1,1,0,1,1,0,22,65673.0,0,0,0,0,1,0,0,0,0,0,0
774724,1,1,0,1,0,0,18,65673.0,0,1,0,0,0,0,0,0,0,0,0
906396,2,1,0,1,1,0,22,74161.0,0,0,0,0,0,0,1,0,0,0,0
722976,1,1,1,0,0,0,13,53315.0,0,1,0,0,0,0,0,0,0,0,0
747304,3,1,0,0,1,0,64,62030.0,0,1,0,0,0,0,0,0,0,0,0
613804,2,1,0,1,0,0,17,74161.0,0,0,0,0,0,0,1,0,0,0,0
395026,2,1,1,0,1,0,37,74161.0,0,0,0,0,0,0,1,0,0,0,0
894466,3,1,1,0,0,0,45,80692.0,0,0,0,0,0,0,1,0,0,0,0
610393,3,1,0,0,1,0,44,90071.0,0,0,0,0,0,1,0,0,0,0,0
800726,3,1,0,0,0,0,9,90071.0,0,0,0,0,0,0,0,0,1,0,0
111171,2,1,0,1,0,0,33,74161.0,0,1,0,0,0,0,0,0,0,0,0
779434,2,1,0,1,1,0,29,74161.0,0,1,0,0,0,0,0,0,0,0,0
203184,3,1,1,0,0,0,39,53204.0,0,0,0,0,0,1,0,0,0,0,0
225077,4,1,1,0,0,0,61,123828.0,0,0,0,0,0,0,0,0,0,1,0
365816,4,1,1,0,1,0,15,123828.0,0,0,0,0,0,0,1,0,0,0,0
781463,4,1,1,0,0,0,28,123828.0,0,0,0,0,0,0,1,0,0,0,0
644786,3,1,1,0,1,0,28,102899.0,0,0,0,1,0,0,0,0,0,0,0
441440,3,1,0,1,0,0,9,50797.0,1,0,0,0,0,0,0,0,0,0,0
756791,2,1,0,1,0,0,51,74161.0,1,0,0,0,0,0,0,0,0,0,0
819569,2,1,1,0,1,0,31,74161.0,0,0,0,0,0,0,0,0,1,0,0
