Loyalty Number,months_since_last_any_activity,tenure_months,flight_trend_ratio,months_since_last_redemption,flights_last_6m,points_trend_ratio,distance_per_flight,CLV,months_since_last_flight,distance_last_12m
217754,2.5330398,-0.340698,0.38205332,0.23513296,-0.85953516,0.16555853,-0.09882976,-0.089890525,0.16865426,-0.050715268
157005,-1.4021351,0.42911604,-0.21937084,-0.004624701,-0.27144685,-0.4183232,-0.4820508,0.079696454,-0.24167943,-0.25650725
608758,-1.4370646,-0.34178492,-0.3775378,0.105953425,-0.23654816,0.11579325,-0.16293971,-0.0047228197,-0.13250728,-0.19598985
599341,-0.76957846,0.0007104161,-0.9792791,-0.96750414,-1.0255463,-0.09146587,-0.6219351,-0.08456967,-0.15880883,0.2752627
333502,-1.2283062,0.14368498,-0.36760196,0.0013599085,-0.33682427,-0.7056228,0.027008599,-0.13769299,-0.13369925,-0.2678053
543918,-0.88305116,-2.337688,-0.44635853,-0.18276225,-0.41624972,-0.4263457,-0.15319246,-0.17169231,-0.1918421,-0.01385744
119200,-1.5315913,0.27546865,-0.44773692,-0.008318253,0.012867403,0.09300555,0.2074913,-0.10623127,-0.22293451,-0.8950149
238119,-1.4714876,0.06558902,-0.15725793,0.016328983,-0.3149093,-0.23626405,0.10729413,-0.016907908,-0.24176806,-0.15373223
730388,-1.5420792,-2.24577,-0.14709184,0.011457309,-0.5162512,-0.008623682,-0.15626635,-0.06973584,-0.21513157,-0.3035728
127400,-1.0193677,0.107302696,-0.13417418,-0.10893725,-0.017820248,-1.1353674,0.19326112,0.049198706,-0.3560982,-0.7193635
324557,-0.66135323,-1.0226572,-0.3880838,-0.43368068,-0.38987735,-0.5329697,-0.2899675,0.07842576,-0.11390952,-0.3376377
742002,-1.2239426,0.20242241,-1.0074781,0.06380093,0.41439238,-0.5068088,-0.11680642,0.02259453,-0.23048498,-0.06777907
536567,-1.1749115,0.020158608,-0.0010334946,0.038242824,-0.50091416,0.01646569,0.02446397,0.2895908,-0.15935282,-0.13200173
704835,-0.5615497,0.62398314,-0.44175422,-0.4681803,-0.3841273,-0.08868076,-0.10439434,0.08805536,-0.1827356,-0.13026966
612905,-0.59013855,0.15576601,-0.17555225,-0.16632093,-0.38749188,-0.2849143,-0.7947939,0.2629908,-0.08410613,-0.29007813
679908,-0.96432054,0.007807893,-0.093968384,-0.38352343,-0.40202537,-0.11047177,-0.11801354,0.41699487,-0.2990616,-0.058727946
704150,-0.56839573,0.06297686,-0.25309452,-0.43559283,-0.2800928,-0.06166974,0.15149944,0.29881358,-0.3063007,-0.15857276
596179,-1.1067333,0.3373938,-0.20909245,0.1064074,-0.0041672806,0.057792768,-0.035665207,0.40996578,-0.22332054,0.9712672
370450,-0.7311553,-2.199562,-0.73777485,-0.50009024,0.114984795,-0.65011495,-0.07119317,0.009498676,-0.23231602,-0.5307251
501030,-1.2722003,0.25507176,-0.9141844,0.06529278,-0.21639667,-0.6084563,0.7138331,-0.15550658,-0.1625214,-0.2821779
878633,-0.052610148,0.21251488,-0.4001308,0.041644834,-0.7354422,-0.43285647,-0.18947494,-0.22362182,0.10382672,-0.14460455
285938,-1.3431773,0.4150556,-0.24392289,0.00644302,-0.30341533,-0.2897424,-0.27799487,0.08485079,-0.18033244,-0.07041683
588237,-0.7372297,-0.07725455,-0.6799414,-0.43264547,-0.08038822,-0.13881765,0.0058355564,0.20369752,-0.21109234,-0.0041699656
645280,-0.965891,-2.1881542,-0.28760186,-0.85089713,-0.22788766,-0.05110962,-0.32815495,0.18335037,-0.24333583,-0.30276683
124678,-1.4263723,-0.20237878,-0.27755326,-0.07788411,-0.21787387,0.17179069,0.096856296,0.2085093,-0.25502518,-0.14818214
186015,-0.66942203,-0.22354475,0.034677483,0.08741669,-0.33622134,-1.4956067,-0.16366976,-0.09058416,-0.13599803,-0.06074886
589580,-1.2016324,-0.18162261,0.0416039,0.115340926,-0.28470522,-0.35744226,-0.5198061,0.24405701,-0.22270443,-0.12782316
623688,-0.94495964,0.4113294,-0.28611207,-0.54049146,-0.29514766,0.15397859,-0.15200949,0.23400606,-0.2340569,-0.28910714
256147,-0.8949598,-2.2876267,-0.08265865,-0.48327047,-0.50480413,-0.1073968,-0.3429052,0.11588496,-0.21394747,-0.21294297
329382,5.1016474,-0.9483575,-0.11537909,0.41033342,0.889469,0.17267904,0.40498784,-0.10387968,1.5553983,-0.30254617
140392,-0.47180077,-0.80192965,-1.3104898,-0.49488753,-0.32678634,-0.86578375,0.246764,-0.17843959,-0.16364248,-0.35732317
230908,-0.87027353,-2.1865132,-1.0828226,-0.6075901,-0.15159293,-0.19741847,-0.24620387,0.006345226,-0.20716451,-0.27452454
972581,-0.6376849,1.0119084,-0.12196867,-0.59531754,-0.25045118,0.1938619,-0.11049572,0.37839967,-0.18177162,-0.09860763
910875,4.5216947,-0.6292742,0.26971203,0.6196288,0.95855033,0.28057012,-0.27913517,-0.12456474,1.2600982,-0.24519779
501704,0.13685837,-0.3720477,-0.8687314,-0.34961304,-0.34084722,-0.17103407,-0.058297116,0.25330552,-0.04829879,-0.3350573
567875,4.090257,0.14539173,0.20849968,0.5880714,0.9051771,0.2013168,-0.16021614,-0.09666321,1.2732682,-0.48538104
688524,-0.93759054,-0.32292226,-0.25275293,-0.5280492,-0.05154606,-0.66670805,-0.09179531,-0.21777216,-0.2197656,-0.8295161
269070,-1.6654521,-1.704424,-0.14053056,-0.052499175,-0.29125437,-0.18680024,-0.17891419,0.0611072,-0.2476106,-0.21460238
387705,-0.73815715,-0.461108,-1.4546077,-0.48022622,0.0793567,-0.7124058,-0.47922575,-0.2965412,-0.1509309,0.06558307
923293,-1.3651744,0.37749913,-0.37698653,-0.13354675,-0.60023475,0.17716767,-0.406276,-0.07555353,-0.1612457,-0.24856608
328936,-0.634761,0.16273454,0.31800652,-0.5132813,-0.17083319,-0.009249926,-0.015182205,0.14081861,-0.15012792,-0.24110879
845864,-0.45737153,-0.27548903,0.001863875,-0.507085,-0.51040876,-0.01491235,-0.08793116,0.074860126,-0.2089783,-0.27333558
645265,-1.5477686,-0.26706117,-0.14960088,0.03281803,-0.17918651,-0.30779377,-0.2426484,0.03226403,-0.20566697,-0.3472958
158560,-0.14167847,0.96271265,-0.13974056,-0.508308,0.098597914,-0.9534808,-0.21109751,0.13606636,-0.09016935,-0.13015565
417584,-0.58428454,0.19899625,-0.27543488,-0.4978799,-0.22677198,-0.062648095,-0.13303953,0.2979598,-0.25694102,-0.33973345
425854,-0.4640653,0.37913805,-0.33115193,-0.61698174,-0.3057373,-0.44721228,-0.62967664,0.19796918,-0.231135,-0.4757697
695855,-1.1122785,-0.17810562,-0.24370745,-0.4139891,-0.06781201,0.023199033,0.017644925,0.017211413,-0.26166126,-0.22024946
699511,-1.2800586,0.44629583,-0.83521307,0.042955495,-0.44630665,-0.13761184,-0.28899014,0.17935854,-0.15036407,-0.29441324
377322,-0.8297173,0.3023737,-0.42465,-0.45456713,-0.2022824,-0.31246847,-0.13029775,0.25976425,-0.2027459,0.4725815
511053,-0.50722814,-0.025185088,-0.32371458,-0.38860208,0.1385138,0.14287782,-0.36304164,0.2501786,-0.23551288,-0.14898214
796670,-1.3793685,0.13307828,0.094643325,-0.06952269,-0.5758014,-1.0774031,-0.042860575,0.22520876,-0.28944814,-0.18759471
556136,0.0099619785,0.7590326,-0.10229634,-0.4549527,-0.78755456,-0.29080513,0.019002326,0.31569114,-0.112786,-0.2891337
513081,-0.67800605,0.69768006,-0.6942611,-1.1197174,-0.09488697,-0.6780547,-0.6311022,-0.165372,-0.12917767,-0.2239655
930718,-0.58251435,-0.29200965,-0.19771552,-0.76877815,-0.2974056,-0.35489574,-0.18481764,0.33583942,-0.19812115,-0.15907708
235872,-0.6918013,0.10331576,-0.2614198,-0.37636435,-0.47007135,-0.06261194,-0.19318403,-0.07772642,-0.22468874,-0.2706477
295147,-0.3132966,0.45249018,-0.56356025,-0.4198843,-0.052899484,0.20190468,-0.52677625,0.033401918,-0.28390574,-0.09328884
306110,2.1768014,-0.35828426,0.21973033,-3.2040188,0.54333144,0.059732586,-0.4359036,-0.15959184,0.6577509,-0.43610215
295217,1.860607,0.59973484,0.13208817,-2.9193041,0.46717894,0.047230102,0.0709843,-0.23946323,1.1285537,-0.28196737
591731,-0.6034109,0.08990149,0.058224972,-0.5437413,-0.19589955,-0.010726163,-0.14496425,0.3462123,-0.17417079,-0.25895736
326905,-1.0557957,0.073351786,-0.2702805,0.03519655,-0.32380557,-0.10591344,-0.61787885,0.23580375,-0.28651905,-0.08795514
375511,-0.607841,0.16256133,-0.5140783,-0.43591595,-0.15714371,-0.8071905,-0.5592923,-0.0035357103,-0.17580356,-0.35286522
797685,-0.7257033,0.8975266,-0.83226097,-0.3715002,-0.06911586,-1.248107,-0.6947093,0.018362094,-0.20657267,-0.7575659
216467,-1.1897919,0.4144306,-0.1390816,0.05859127,-0.23630106,0.08839471,-0.3668808,0.15572903,-0.23200978,-0.19674456
539673,-0.58554536,0.3662976,0.06828287,-0.14605479,-0.10255293,0.059758764,0.7841266,0.51121277,-0.09367899,-0.113700405
484718,-0.9019608,-2.6172588,-0.24544111,-0.58168465,-0.4711797,-0.5086635,-0.091509,0.096323036,-0.27914658,-0.29736337
528492,-0.72351575,0.45816413,0.52720594,-0.7116971,0.24142802,0.064819425,0.44875252,0.4217143,-0.17733873,0.18799213
632793,-0.67272437,0.58718807,-0.19175473,-0.36479422,-0.4746286,-0.15887837,-0.25339574,0.36495322,-0.19400696,-0.5574422
705196,-1.1374925,0.22554852,-0.4710993,0.04924557,-0.45901936,-0.1408535,-0.43388966,0.3533957,-0.36986488,0.54228115
119488,-1.3170673,0.40433776,-0.8136833,-0.030741714,-0.2670735,-0.63000077,0.12390873,-0.067995176,-0.19185145,-0.50935477
287750,-1.0371635,-2.1256907,-0.064241365,-0.53639215,-0.087689474,-0.39462796,-0.14864019,-0.12621112,-0.28932765,-0.31001872
735846,-1.0963138,-1.5252875,0.37481117,-0.45871246,0.20335379,0.093284525,0.18024743,-0.07377219,0.14864984,-0.67097753
606026,-0.7650202,-0.023284305,-0.49579117,-0.43045375,-0.5223356,-0.66764027,-0.48948666,0.004169644,-0.1353036,-0.15400665
460291,-1.3964381,0.022970105,-0.3558277,0.10362241,0.2866951,0.121586666,0.08113153,0.15072295,-0.3333856,-0.40250763
743001,-1.3784914,0.15486878,-0.22733088,-0.0063144714,-0.09798061,-1.0218416,-0.8008943,-0.1935368,-0.16347472,-0.58757144
869799,-1.5299753,0.010867173,-0.21792835,-0.0030996497,-0.074011125,-0.08691573,-0.1181566,0.05676541,-0.21089919,-0.8679083
279419,-0.6803692,-0.32598794,-0.7195209,-0.2371608,-1.0620391,-0.57423735,0.1395382,0.06859935,-0.07381733,0.5549482
170585,-0.4099193,0.10570763,0.5743463,-0.63575387,-0.3002312,-0.34735745,-0.029911704,0.01039467,-0.11686493,-0.05255793
188340,-0.50810105,0.77848417,-1.1016846,-0.41800794,-0.6210207,-0.6629631,0.21734425,0.11914756,-0.12779911,-0.21246956
670817,-0.65782726,0.12111337,-0.50342864,-0.47728387,-0.2957596,-0.49777925,-0.42863292,0.068156645,-0.15812066,-0.28915244
509513,-1.0236368,-2.7025077,-0.065737925,-0.46625587,-0.139039,-0.8608185,-0.025346464,0.13157664,-0.19068089,0.2948011
779247,-1.7997631,-2.1279953,-0.55403453,0.017704241,-0.5365288,-0.88551956,-0.44924223,-0.15715511,-0.29235253,-0.14509158
111255,-1.2749143,-0.30788484,-0.18879396,-0.010183956,-0.2018337,-0.50375724,-0.038763355,-0.07906439,-0.13951711,-0.040272802
763061,1.5396597,-0.13034879,0.21311757,-1.3414896,-0.100358665,-0.19680645,-0.299907,-0.028337542,-0.914319,-0.5986235
428919,-1.7895312,-0.28249836,0.021708284,0.03121886,0.22712697,-0.16157375,-0.49875033,0.015264837,-0.30350497,-0.17679791
139863,-0.5781326,0.013761771,-0.33371156,-0.41749874,-0.35881668,0.12634763,-0.6108575,0.22367443,-0.24439256,-0.56569934
695755,4.995449,-0.9078123,-0.09296362,0.5335539,0.9299321,0.22612864,0.5168063,0.005702576,1.6065496,-0.28380525
355331,-0.73501253,-0.26209766,-0.24875833,-0.73474175,-0.032196432,-0.09153534,-0.3389937,0.032100204,-0.11977324,-0.28102782
578837,-1.1009531,-2.108896,-0.28406647,-0.48292777,-0.15754858,-0.3241935,-0.012145292,-0.016638916,-0.20919721,-0.20105672
467182,-0.9926223,0.16196063,1.1487542,0.11910971,0.112867296,0.5028113,-0.00551477,-0.11983842,-0.19918124,0.016327165
601407,4.060188,-0.1844241,0.1721136,0.5346944,0.39383385,0.27454162,-0.29501623,-0.08077667,1.1409655,-0.20234297
700871,-1.2558765,-0.0036651432,-0.24483992,0.032810964,-0.20165594,-0.7378749,-0.8451284,-0.1686492,-0.17487966,-0.13256474
203809,5.174521,-0.9591186,-0.13845454,0.4349678,1.0347369,0.18024291,0.49362,-0.00908822,1.6513042,-0.20188493
705589,-1.6622971,-2.482602,-0.47661927,0.07165571,-0.4069084,0.063181266,-0.43785822,0.14425506,-0.22503021,-0.19793947
746060,-0.8132964,0.17128776,-0.03856243,-0.33571318,-1.3506131,-0.5542037,-0.51988333,-0.14873902,-0.17975235,-0.14850767
469718,-1.3023807,-1.1865076,-0.1810085,0.011254749,-0.43689206,-0.13064566,0.07205452,-0.035294954,-0.23135963,0.142727
164429,-1.0279515,-2.4401705,-0.8144428,-0.39640334,-0.19991717,0.013716558,-0.24197726,0.23111369,-0.22304463,-0.32256186
708373,-1.1589605,-0.15911518,-0.4038296,0.0087985275,-0.39859208,-0.5832486,-0.53484714,0.16964999,-0.18660745,-0.17841026
225088,-1.0841476,-0.20694397,-0.4907133,0.06382045,-0.4036142,0.044395734,-0.20326899,-0.011425277,-0.30032125,-0.1741982
100214,-0.76322997,0.04720932,-1.0051876,-0.5657255,-0.027674742,-0.62662596,-0.8997247,-0.11393708,-0.15037863,-0.64005345
268128,-1.053503,-1.4487011,-0.27087495,-0.49307576,-0.0939053,-0.9010921,-0.08610251,0.0026145354,-0.20895095,-0.10060928
930584,-0.7227491,-0.2889728,-0.005425315,-0.3864219,-0.47390538,0.15291531,-0.5569806,0.3771062,-0.23458703,-0.15200852
327796,-1.5891289,-0.04173313,-0.61660224,0.003728473,-0.049004752,0.10266482,-0.23338927,0.043231748,-0.21006289,-0.692046
947467,-1.4332466,0.17702456,-0.04743318,0.08436698,0.0079405345,-0.7210392,-0.3988994,-0.20140901,-0.25178403,-0.291295
743510,-0.26098213,0.114419036,-0.06589334,0.08362743,0.37594128,0.2752338,0.107169755,-0.12548073,-0.041552193,-0.91296864
580324,-0.9006446,-0.3579533,-0.26347753,-0.53559047,0.25055727,0.24674228,-0.40939105,0.11585113,-0.1772216,-0.15154257
101945,-1.3872573,0.23096833,-0.38431525,0.03629135,-0.41976592,-0.16770457,-0.511345,0.20194468,-0.2036006,-0.048752334
713636,-1.2117374,0.39596754,0.13241576,0.060683243,-0.32935834,-0.46755254,-0.36154294,-0.034227684,-0.18797868,-0.14057222
302509,-1.4360497,0.534661,-0.84667856,0.024564464,0.033779375,-0.8269209,-0.58545077,-0.21148096,-0.18154204,-0.598404
789421,-1.2659584,0.2498413,-0.015775224,0.045848634,-0.06438052,-0.18048434,-0.07995694,0.027379828,-0.23388216,-0.18002008
404426,-0.85794467,0.1124716,-0.35607386,-0.9881851,-0.16067341,-0.75350404,-0.360753,-0.33887213,-0.17420803,-0.552209
438023,-2.0908997,-1.1014706,-0.082879074,0.048482884,0.32343444,-0.46398786,-0.17280842,-0.2432751,-0.3825109,-0.2943033
872932,-0.6914224,0.14748311,-1.0776699,-0.9853731,-0.22677872,-0.6265493,-0.39532,-0.11010488,-0.09972053,-0.10676883
407945,-1.2148399,-2.1532612,-0.36190888,-0.39087173,-0.36090904,0.008273732,-0.2847424,0.1710265,-0.26921245,-0.3283579
211714,-0.74541533,-0.2165882,0.020350209,-1.1172085,-0.5020606,-1.0009578,-0.0915396,-0.035362735,-0.26192516,-0.2557765
410982,-0.55958897,0.30145454,-0.31781426,-1.0125263,-0.029224588,-0.6101554,-0.45387876,-0.004745508,-0.122799486,-0.16996457
905213,-0.46684772,0.25912362,0.06369164,-0.47780505,-0.11307428,-0.7835101,-0.18832596,0.03163648,-0.2536161,-0.073680855
147898,0.32104492,-1.5160019,0.9731258,-0.7486464,-0.30933014,0.27085882,-0.39725167,-0.025574591,0.04522395,-0.24016418
610946,-0.66280794,1.1529906,-0.18271686,-0.44426465,-0.2376959,-0.516652,-0.31409964,0.40417245,-0.19320717,-0.04067137
383108,-1.6640697,-2.989827,-0.741443,0.059185605,-0.626418,-0.36875317,0.10021849,-0.26404095,-0.207468,-0.30520678
836343,-0.42536488,0.18317504,-0.046902135,-0.50965023,-0.3933456,-0.7183298,-0.5012364,0.18642063,-0.27382225,-0.09319563
585357,-1.3904562,-0.16836189,-0.6451409,-0.010454279,-0.28270042,-0.25459814,-0.14026462,1.8682098e-05,-0.16212001,-0.1506414
784804,-1.4320085,-0.016145522,-1.2071602,0.03555379,0.30426103,-0.96801776,-0.32554868,-0.24480577,-0.29232597,-1.082179
719633,4.5496745,0.2977468,-0.06893649,0.49780282,0.9803991,0.2200199,0.456411,0.10020145,1.6121699,-0.40382364
715764,-0.74298185,1.0561999,-0.081671074,-0.49366724,0.06437689,-0.9213292,-0.16408463,0.097751625,-0.20902431,-0.1023057
753473,-1.1605251,0.015451599,-0.010677392,0.005605951,-0.6733854,-0.5308482,-0.5195811,-0.09592238,-0.19515093,-0.32181036
980856,-1.4313508,-0.114544705,-0.30677354,0.054635916,-0.45353228,-0.6483062,0.13203172,0.106347315,-0.28461233,-0.16582304
271660,-0.0030918247,-0.20140119,-0.44379812,0.03744284,0.32093972,0.019879704,-0.071053855,-0.040798876,-0.007742928,-0.40386894
264936,-1.0591574,-0.25891814,-0.18601441,0.011061111,-0.38788196,-0.37377563,-0.18925849,0.19312905,-0.19720978,0.05180405
976513,-0.3224404,0.31968185,0.7708729,-0.51668596,-0.24494864,-0.37932402,-0.09802241,0.11234622,-0.16966823,-0.16616848
828776,-1.236753,0.18667795,-0.7378845,-0.02058316,-0.071428575,-0.5731242,-0.2559546,0.05509659,-0.13847408,0.00090378197
240362,-1.4866334,0.0897562,-0.92778736,0.04934487,-0.04817985,-0.64845675,-0.69959843,-0.37542856,-0.22291176,-0.14722358
137845,-1.3356229,-0.42562371,-0.26659006,0.044464335,-0.3157716,-0.56299305,-0.7824632,0.06136549,-0.21667725,0.15112467
430569,-0.72501713,0.7642455,-0.38551447,-0.4579057,-0.31294662,-0.7071711,-0.2591056,-0.0789997,-0.24734418,-0.35493544
625870,0.23945265,-0.027807577,0.32450008,0.13963611,0.17501658,0.3749036,-0.23039864,-0.16223623,0.15935896,-0.24844965
917630,-1.2684406,0.61943364,-0.14151627,0.02216532,0.08415534,-0.0153041575,-0.52247626,0.09758024,-0.20513394,-0.19849789
717660,3.133495,-0.14493714,0.26007777,0.24134497,0.5033349,0.28937888,0.11042818,-0.17695878,0.08226171,-0.4650715
450621,0.07638231,-0.12505409,-0.13057193,-0.5243246,0.2180137,-0.83724463,-0.030968321,0.039080534,-0.115446486,-0.44564122
939562,-0.83881295,0.25876433,-0.07688135,-0.3760819,-0.075348586,-0.5227298,-0.3540459,0.0873474,-0.19787207,-0.23283768
135250,-0.48842013,0.053837758,-0.25087422,-0.551223,-0.3932646,-0.18121,0.0017982159,-0.08220689,-0.13241963,-0.12107489
714555,-0.764103,-0.00014257932,-0.23618408,-0.6350028,-0.20140074,-0.014108518,-0.0029853634,0.17227869,-0.17487021,-0.25407115
947868,-1.6552266,-2.569519,-1.0675706,-0.16573673,-0.3221313,-0.55294186,-0.48465216,-0.08885419,-0.23799905,0.07911292
228580,-1.0744382,-2.9151833,-0.60263014,-0.8469357,-0.16007534,-0.21736018,-0.032414675,-0.22075084,-0.21154453,-0.20584981
557500,-0.48069608,0.15437543,-0.31349972,-0.3516386,-0.28279874,-0.31357667,-0.26651168,0.15718886,-0.12955172,-0.13136198
238233,-0.33688378,0.03979516,0.055997867,0.03910875,-0.360958,-0.04410467,-0.5733368,0.07564597,-0.039650984,-0.37511444
979309,-0.30143788,-0.28862947,0.07792272,-0.1127816,-0.8951584,-0.73750186,-0.32144406,0.13365193,0.10444125,0.037671883
717700,-1.4523973,-0.07936782,-0.33417764,-0.03494801,-0.4425105,-0.19769183,-0.4032938,0.17715372,-0.22967829,-0.35428095
245465,-0.4466496,-0.3251988,-0.31547925,-0.33866864,-0.17845587,0.1374415,0.03977722,-0.0034366108,-0.19998395,-0.26647606
709920,-0.88658875,-1.7460914,-0.7671254,-0.49300927,-0.26185906,-0.36488473,0.32241556,0.19314489,-0.13744816,-0.16912189
143784,-0.9379265,-1.9372061,-0.6579865,-0.40194237,-0.44934678,-0.084015675,-0.31276757,-0.20591941,-0.23812422,-0.27179694
602176,-0.6419516,0.34601793,-1.0337799,-0.4039638,-0.3033232,-0.21436976,-0.7333448,-0.16295929,-0.15288055,-0.34827578
870998,-1.3259135,0.16407463,-0.24494977,0.053664453,-0.3342122,-0.31037438,-0.005600047,-0.03898759,-0.17935418,-0.1704966
958224,-0.5944493,0.21935868,-0.2934018,-0.3667035,-0.14284414,-0.40456313,-0.13667406,0.12717599,-0.21252617,0.017670337
837628,-1.2220784,-0.12804008,-0.56379706,-0.0023719678,-0.01530632,-0.44277415,-0.24531175,0.03106996,-0.29939514,-0.32646242
395460,-0.799283,0.11416856,-0.25448766,-0.96841973,-0.09251974,-0.010540201,-0.6989816,-0.03450256,-0.17656033,-0.27673006
136547,3.389763,-0.758736,0.4541331,0.23492071,0.20498945,0.20312035,0.287109,-0.26211604,0.29287136,-0.3064536
166712,-1.7748712,0.25041446,0.5619602,0.10265886,0.13751166,0.12506132,-0.1866821,-0.4304483,-0.29973856,-0.21740492
217695,-0.9066989,0.07926669,-0.10849166,-0.36795554,-0.44620273,0.18311957,-0.44531244,-0.10689214,-0.25777444,0.014985155
263707,-0.58190703,-0.1448141,-1.5233467,-0.1725002,0.36201954,-1.5260042,-0.3818772,-0.45466453,-0.30551606,-1.0243673
638368,-1.3307377,0.13633987,-0.8467527,-0.010972991,-0.32744107,0.17068154,-0.18302952,-0.16162299,-0.19285421,-0.16002887
695529,-1.1750171,-1.8846678,0.5280914,-0.59511656,-0.40963265,-0.80838776,-0.31866536,-0.24798785,-0.22238056,-0.18126062
915571,4.3230424,-0.21046732,0.2375966,0.66406214,0.9602773,0.24243104,0.10120061,-0.22689241,1.2935181,-0.5646558
642109,-0.4535791,0.3156116,-0.019480338,-0.2702171,-0.3884864,-0.2792317,-0.2813598,0.024588328,-0.13200477,-0.17557538
833701,-0.57736856,0.18323994,-0.23659728,-0.3368638,-0.101364054,-0.30980185,0.013061136,-0.21422437,-0.11902779,-0.15721445
275442,-1.1669402,0.42073706,0.027653864,0.06681499,-0.2698615,-0.036561467,-0.14111795,-0.063562244,-0.22500865,-0.19081508
374345,-0.7692991,0.28089818,-0.4204081,-0.9911034,-0.5154129,-0.23217238,-0.30618966,-0.23818165,-0.17954917,-0.24362014
384825,-0.9669369,-2.6460686,-0.29307568,-0.5152231,-0.08161981,-0.6228416,-0.4547056,-0.09108333,-0.16589156,-0.12516622
564650,-0.5032584,-0.13054405,-0.59078616,-0.4877685,-0.013332526,-0.31105113,-0.11740979,0.09922359,-0.17349829,-0.15312918
277649,-1.0926844,-2.2384925,-0.2615212,-0.5566488,-0.27337778,-0.49212736,-0.29732132,-0.18668538,-0.22756389,-0.21641687
732013,-0.61858225,0.13192748,-0.17386158,-0.51943207,-0.03922135,-0.22508608,-0.3830681,0.095143676,-0.12909296,-0.20519789
793318,-0.6268714,0.44173786,-0.23647422,-0.44029683,-0.14868443,-0.3205643,-0.15522484,0.17625025,-0.22616935,0.39169326
830024,-1.1565602,0.11190556,-1.3278075,0.004341946,-0.19143747,-0.9289275,-0.4106931,-0.35698396,-0.18596835,-0.10928041
966117,2.3363247,-0.9244406,0.2686982,-0.44528338,0.8016949,0.054046623,-0.14853245,-0.24681744,-0.8865309,-0.5478981
265836,-0.79548323,-0.1500174,-0.2828469,-0.59183633,-0.05914533,0.10587958,-0.30315414,-0.040849183,-0.20057826,-0.074928254
474174,-0.3094628,0.9566898,-0.31099188,-0.18887332,-0.089800306,-0.28724104,0.28394654,0.12200482,-0.14320034,-0.1368568
